,,,,,,,,,,,,,,,,,,,,,,,,,,,,
القائمة الرئيسية   Main List,,,,,,,,,,,,,قائمة الإحصاءات النقدية والمالية       Money & Banking Stat. List,,,القائمة الرئيسية   Main List,,,,,,,,,,,قائمة الإحصاءات النقدية والمالية       Money & Banking Stat. List,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 26b: Bank Clearing of Commercial and Personal Cheques by Cities,,,,,,,,,,,,,جدول 26b: عمليات المقاصة المصرفية للشيكات التجارية للشركات والأفراد حسب المدن,,,Contd.2 table 26b: Bank Clearing of Commercial and Personal Cheques by Cities,,,,,,,,,,,تابع 2 جدول 26b: عمليات المقاصة المصرفية للشيكات التجارية للشركات والأفراد حسب المدن,
(Value in Million ﷼),,,,,,,,,,,,, (القيمة بالمليون ﷼),,,(Value in Million ﷼),,,,,,,,,,, (القيمة بالمليون ﷼),
,,Jeddah    جدة,,Riyadh  الرياض,,Dammam   الدمام,,Abha  أبهـا,,Buraydah  بريدة,,Almadinah   المدينة,,,,,,Ta'if  الطائف,,Makkah  مكــــة,,Tabuk  تبـوك,,Jazan  جازان,,Grand Total  الإجمالي,,
2009,,124545.4,1409807,251854.4,2316031,79778.1,1654835,7807.3,153543,10473.5,248138,13804.3,164045,,,2009,,2205.9,46027,20180.5,127437,2606.1,53933,1220.5,24353,514476,6198149,
2010,,137604,1427796,260762,2302229,79921,1621168,9258,146632,11608,249857,13626,152585,,,2010,,2366,42545,23706,135146,2805,54785,1487,23780,543143,6156523,
2011,,149552,1446599,267150,2342559,87780,1654314,10070,151000,13804,257429,16491,151851,,,2011,,2787,42512,28340,137582,3022,57936,1327,23787,580323,6265569,
2012,,164774,1474251,283741,2396054,98695,1720298,9885,158905,14665,257998,17290,154832,,,2012,,2881,39777,31972,137864,2820,56402,1506,24243,628229,6420624,
2013,,156813,1421350,283107,2347822,101070,1706794,10970,151022,16172,254582,18625,150812,,,2013,,3472,39784,41138,133115,2721,50532,1701,25335,635789,6281148,
2014,,162634,1340454,286687,2285779,94694,1626286,10836,145407,16773,241104,24065,144495,,,2014,,3346,37104,42334,131424,2843,46237,2265,26027,646477,6024317,
2015-12-31T00:00:00,,135734.1,1251410,236184.6,2135558,86365,1552638,9280,177836,14346.4,226889,17250.4,133822,,,2015-12-31T00:00:00,,3002.7,35022,35249.6,131167,2311.8,41769,1926.8,26021,541651.4000000001,5712132,
2016-12-31T00:00:00,,102643.13399999999,1086810,177363.372,1817052,70084.199,1364245,7400.878,119604,10823.131,202733,13428.380000000001,124246,,,2016-12-31T00:00:00,,2436.915,28997,22809.619,107105,1773.3690000000001,37210,1689.5819999999999,23626,410452.57899999997,4911628,
2017-12-31T00:00:00,,88146,931564,141832,1568786,61123,1193288,8136,104116,10815,180362,13922,105187,,,2017-12-31T00:00:00,,2509,26169,22307,99333,1836,33897,1791,21815,352417,4264517,
2018-12-31T00:00:00,,70558.514,721483,115620.047,1205973,50229.943999999996,966172,6577.599,84376,8805.6,147667,10661.236,86480,,,2018-12-31T00:00:00,,1935.376,23754,17270.731,81587,1800.1260000000002,31684,1618.3590000000002,18477,285077.5319999999,3367653,
2019-12-31T00:00:00,,62212.490000000005,621182,107319.774,1015359,43968.04,823944,6794.941,79984,9954.954,131900,9065.447999999999,63467,,,2019-12-31T00:00:00,,2056.392,21306,15693.855,74395,1978.7549999999999,28057,1428.392,16138,260473.04100000003,2875732,
2020-12-31T00:00:00,,41795.96755799,436028,83125.43309014,692469,32554.66601717,541258,4237.197450539999,45371,6944.173998050001,68660,4010.70031695,26294,,,2020-12-31T00:00:00,,1885.1999569700001,13053,6356.7834499,32809,1679.55547204,17894,983.6741691899999,8527,183573.35147894,1882363,
2021-12-31T00:00:00,,38014.29324801,324028,74146.17613580001,551971,29683.2357584,443476,5965.086231519999,58617,10164.04436702,74308,6490.44052044,30004,,,2021-12-31T00:00:00,,2682.04425877,16659,8199.86088347,39615,1492.58319972,19805,1694.04227244,11314,178531.80687559,1569797,
2022-12-31T00:00:00,,30136.588111440004,231583,58586.01961498,418861,27700.52351809,346115,5581.42778337,55063,9487.64176705,59824,6007.41702276,29915,,,2022-12-31T00:00:00,,3353.83407203,17615,8128.733141119999,31623,1106.06093336,16840,1250.15143021,9639,151338.39739441,1217078,
2023-12-31T00:00:00,,26564.54617655,172502,43704.56000128,291290,21754.54998036,294689,6675.53064792,44755,7185.542889339999,48414,7382.27772768,31097,,,2023-12-31T00:00:00,,2103.38556034,15551,8439.588903069998,28112,1034.41786859,15921,1275.1561046900001,9100,126119.55585981999,951431,
2024-12-31T00:00:00,,42160.41625785,168575,72749.21890742,260282,17679.015635869997,219608,5339.871106709999,37745,6696.71506922,39485,6875.076924909999,24196,,,2024-12-31T00:00:00,,1350.4695023,8527,10326.4572802,26485,1946.26094607,18947,1275.37178358,7116,166398.87341412998,810966,
2025-12-31T00:00:00,,21352.615163860002,124265,46689.60402743,201146,14599.40993681,167207,3616.7773964099997,24595,5390.72457708,27974,5293.73243561,15075,,,2025-12-31T00:00:00,,---,---,9520.902480100001,21261,2057.34414471,17536,909.30002305,4232,109430.41018506001,603291,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1,1996,16323,349861,35818.4,499006,11399.4,380186,1524.2,46579,2063.9,70452,1022.1,27498,,,Q1,1996,306.3,19144,1792,32351,941.3,19063,304.1,11049,71494.7,1455189,
Q2,1996,18854.2,381172,39090.1,538548,11795.7,401966,1667.1,46020,2515.7,77918,1243.2,28912,,,Q2,1996,377.3,21760,3275.2,40882,958.6,19877,295.9,11089,80073,1568144,
Q3,1996,19429,374576,37142,487508,11999,399563,1797,47747,2941.2,77528,940.4,25773,,,Q3,1996,464.8,22627,1774,31222,942.4,20762,265,10757,77694.8,1498063,
Q4,1996,20995.2,377842,44163,583239,13311.4,429910,1985.7,50518,2808.4,83589,978.5,27415,,,Q4,1996,355,22098,1870.4,32734,1157.7,22749,381.5,16775,88006.8,1646869,
Q1,1997,23793.5,349325,46386.17,540605,12569.6,391467,1788,45372,2596.9,85377,1122.4,28374,,,Q1,1997,310.8,20178,2155.9,34160,1136.8,24520,382.7,20680,92242.77,1540058,
Q2,1997,20489.5,374270,43230.5,579974,13341.9,422541,1876.3,51115,2636,88444,1212.8,31415,,,Q2,1997,385.1,21391,3246.8,37967,1080,23191,460.1,22184,87959,1652492,
Q3,1997,17630.8,364345,38618.8,573962,12511.4,411579,1987,53166,2461.6,85727,1061.4,31199,,,Q3,1997,313.1,20729,1643.2,31254,1057.6,24435,422.4,21828,77707.3,1618224,
Q4,1997,17654.8,388324,45318.9,618933,14051.6,438641,2055.6,53336,2261.3,84460,1240.8,33276,,,Q4,1997,383.9,21848,2031,33116,860.6,24387,436.1,20358,86294.6,1716679,
Q1,1998,17098.7,353089,41670.7,559041,13025.8,397765,1648.1,49464,1838.4,81348,1187.1,30146,,,Q1,1998,317.9,19185,2649.8,35876,938.9,22356,387.8,19494,80763.2,1567764,
Q2,1998,16816,370938,41578,601760,12736,428652,2023,51994,1929,79915,1264,32974,,,Q2,1998,379,20625,2840,40902,842,23741,443,21648,80850,1673149,
Q3,1998,15397,357166,39511,577135,13043,410216,1665,50128,1966,82986,1005,30580,,,Q3,1998,406,21612,1571,32164,422,24699,597,24245,75583,1610931,
Q4,1998,15720,386319,42613,655318,13602,453582,1482,50971,2322,87975,1152,33841,,,Q4,1998,431,21975,1716,36686,492,26352,633,26281,80163,1779300,
Q1,1999,14444,359944,39365,548399,12127,400877,1414,47635,2220,88456,1109,32252,,,Q1,1999,302,21660,2101,36071,514,27449,653,19679,74249,1582422,
Q2,1999,16472,413023,48011,640586,14015,457285,1766,56942,2361,95301,1438,38212,,,Q2,1999,469,24810,2737,45815,510,27088,849,22708,88628,1821770,
Q3,1999,14847,369607,45319,544601,13065,403653,1703,53628,2417,85975,1152,34529,,,Q3,1999,358,19695,1629,35866,451,17813,792,21659,81733,1587026,
Q4,1999,16311,428843,51828,606259,13891,438909,1914,51103,2522,92028,1399,36491,,,Q4,1999,341,21119,2064,44077,534,18389,810,21088,91614,1758306,
Q1,2000,15444,311600,46414,506798,11506,380846,1395,41187,2254,88208,1343,32679,,,Q1,2000,247,14714,2643,37677,413,14479,683,18023,82342,1446211,
Q2,2000,17909,367664,54337,606766,14385,454722,1933,50253,4259,131747,1530,39547,,,Q2,2000,356,21477,2783,46552,589,16965,440,19405,98521,1755098,
Q3,2000,15470,338041,47721,545976,12141,409237,1913,46734,2302,86962,1256,34271,,,Q3,2000,349,16197,1631,35311,475,15029,354,18049,83612,1545807,
Q4,2000,16142,342268,56583,604469,12600,416440,1796,46117,2704,88879,1401,36020,,,Q4,2000,355,13551,2494,38349,553,16002,402,16578,95030,1618673,
Q1,2001,17002,333502,52962,558204,11882,407666,1920,45856,2602,97412,1795,37759,,,Q1,2001,358,13348,3566,43347,536,14439,388,16604,93011,1568137,
Q2,2001,19091,366003,59590,632336,11545,394679,1971,52427,3062,102186,1674,40812,,,Q2,2001,439,14641,3379,42948,595,16325,408,17649,101754,1680006,
Q3,2001,16099,331641,53489,558109,21950,425862,1883,48513,2400,91446,1396,35663,,,Q3,2001,412,14752,2177,32621,462,14183,408,18943,100676,1571733,
Q4,2001,15041,328616,44026,586685,11158,374029,1675,47652,2377,93958,1428,37213,,,Q4,2001,311,14977,2880,31494,549,15081,447,17901,79892,1547606,
Q1,2002,16058,325850,32550,560333,12060,390180,1739,44565,2321,93210,1674,39114,,,Q1,2002,339,13262,4181,36326,399,12299,429,17669,71750,1532808,
Q2,2002,17250,358571,39917,641457,13482,446210,1903,49648,2694,102308,1752,41991,,,Q2,2002,364,12344,2664,33158,505,16262,541,18841,81072,1720790,
Q3,2002,16198.75,330635,38451.8,562464,12836.36,412545,1853.2,48190,2390.16,91794,1641.43,38580,,,Q3,2002,321.28,12091,2269.08,30230,428.37,15010,447.93,19127,76838.36,1560666,
Q4,2002,17432.78,335595,42967,608758,13105.32,421693,1732,48154,2020.47,87935,1638.82,40782,,,Q4,2002,295.31,11126,2649.83,34400,504.81,15967,497,20075,82843.34,1624485,
Q1,2003,17172.69,320515,37007.839,548207,11241.767,395898,1643.541,44241,2070.593,86529,1939.847,39695,,,Q1,2003,320.705,10339,4056.039,39707,445.02,14451,430.376,17980,76328.417,1517562,
Q2,2003,17709,354853,41813,629644,13260,445349,1843.5,51426,2460,95435,1815,42139,,,Q2,2003,295,11338,3009,34224,470,16541,444.5,19086,83119,1700035,
Q3,2003,18441,337416,35993,549864,11407,393529,1873,49456,2010,86736,1372,31002,,,Q3,2003,336,11651,2391,30362,427,14832,482,19616,74732,1524464,
Q4,2003,19186,340308,44782,595088,12746,419320,1755,47186,2452,92469,1955,40592,,,Q4,2003,332,9353,2925,35856,640,16642,457,18583,87230,1615397,
Q1,2004,19649,334753,44278,564110,12654,409215,1522,44567,3401,93198,2477,42554,,,Q1,2004,363,11213,4321,41198,632,15908,422,16799,89719,1573515,
Q2,2004,19650,364348,45651,613990,13585,430734,1657,49840,2926,99147,2160,42021,,,Q2,2004,362,11398,3056,34450,554,18071,467,17480,90068,1681479,
Q3,2004,19546,341416,29768,449671,13126,408166,1765,47460,3314,93838,1949,37183,,,Q3,2004,391,11599,3092,30725,651,15377,431,18684,74033,1454119,
Q4,2004,21171,345020,47016,589345,14077,407128,1891,47298,2692,94017,2510,41146,,,Q4,2004,303,11951,3799,38329,633,16655,468,17651,94560,1608540,
Q1,2005,20786,345871,39916,551884,13573,404414,1683,46492,2643,87472,2600,41293,,,Q1,2005,380,12366,4454,41008,558.3,15054,503.4,18398,87096.7,1564252,
Q2,2005,23237.6,378568,46146.6,628563,14301.5,419913,2073.2,55517,4290.7,101687,2295.5,43205,,,Q2,2005,366.6,13793,3559.9,37141,748.8,17832,452.5,18883,97472.9,1715102,
Q3,2005,21141.4,345342,37331.55,535331,13323.8,393550,2003.88,48779,2647.8,82458,2041.9,39254,,,Q3,2005,427.4,13648,2897.4,31006,559,14564,456.7,18636,82830.83000000002,1522568,
Q4,2005,23697,364946,48529.33,593009,14386.38,411138,2029.65,47811,2926.12,87236,2343.26,42917,,,Q4,2005,367.22,13937,4489.2,39472,707.86,17449,469.19,20384,99945.20999999999,1638299,
Q1,2006,21323,353037,43106,555179,14051.6,406687,1509,42822,2791,83157,2359.3,41916,,,Q1,2006,432,13997,4400.3,39010,551.5,15600,419.2,19547,90942.9,1570952,
Q2,2006,21793.7,371900,48889,602458,14798.6,428687,1554.8,45929,2494.8,78359,3912.6,41576,,,Q2,2006,442.8,14550,3087.7,34837,476.9,16656,396,18987,97846.9,1653939,
Q3,2006,24374.08,341551,39269.38,523122,13842,377034,1615.4,42070,2020.9,62523,2147.99,37715,,,Q3,2006,429.5,14392,2368.8,29170,504.3,14432,367.59,16914,86939.94,1458923,
Q4,2006,24410.925,340693,49749.973,556978,15258.08,387595,1576.528,41897,2059.164,60861,2352.245,40309,,,Q4,2006,484.834,13568,3959.049,34633,566.841,15392,360.679,15693,100778.318,1507619,
Q1,2007,24903.559,350351,48723.298,548662,10534.136,268551,1422.629,40609,2133.212,61965,2520.38,40913,,,Q1,2007,393.044,12123,4194.526,34097,569.521,15051,171.096,4237,95565.40100000001,1376559,
Q2,2007,27694.006,377709,55026.835,611762,17908.813,421643,1572.469,42261,2477.834,67005,2579.301,43610,,,Q2,2007,477.597,12881,3619.681,30750,572.039,16312,285.443,6852,112214.01800000001,1630785,
Q3,2007,28600.3,353984,49840.56,544753,19446.8,406935,1499.6,40153,2524.6,61930,2266.76,39313,,,Q3,2007,578.3,14040,3385.2,30285,545.2,13953,316.3,6754,109003.62000000001,1512100,
Q4,2007,27976,335440,55472,534388,19544,397118,1510,38161,2417,58240,11700,189856,,,Q4,2007,516,11660,4746,35903,558.9,13545,334.7,5425,124774.6,1619736,
Q1,2008,31290,384524,62755,619006,21828,438007,1996,42484,2812,65506,4360,45488,,,Q1,2008,479,8671,6818,39080,643,15605,321,6796,133302,1665167,
Q2,2008,31217,386693,66148,637070,23098,438914,1709,43610,2742,66419,3683,42519,,,Q2,2008,666,12203,5616,32474,595,14467,330,6210,135804,1680579,
Q3,2008,34728,358120,59972,549735,19692,395386,1792,38964,2819.3,62111,3734,38943,,,Q3,2008,617,12774,4767,30250,537.2,12620,289,5444,128947.5,1504347,
Q4,2008,30448,348021,62204,550750,20441,402582,1903,35972,2358,57737,3109,39828,,,Q4,2008,554,11732,6140,35287,647,13199,239,7470,128043,1502578,
Q1,2009,27000,363499,59659,585714,20010,424489,1789,38657,2571,63848,3114,42543,,,Q1,2009,582,11441,5082,32523,718,13791,371,6425,120896,1582930,
Q2,2009,29278,372504,62572,618382,20176,432623,1898,40193,2534,63643,3982,42224,,,Q2,2009,549,11543,3846,29568,665,14492,297,6159,125797,1631331,
Q3,2009,34082.4,317059,54998.4,514842,17462.1,376681,1821.3,35999,2369.5,58328,2884.3,36857,,,Q3,2009,511.9,11751,4086.5,26493,569.1,11554,237.5,5087,119023,1394651,
Q4,2009,34185,356745,74625,597093,22130,421042,2299,38694,2999,62319,3824,42421,,,Q4,2009,563,11292,7166,38853,654,14096,315,6682,148760,1589237,
Q1,2010,29210,360068,62947,594905,19765,412901,2386,35937,2655,63602,3507,39783,,,Q1,2010,578,11499,5317,33734,583,13383,337,6075,127285,1571887,
Q2,2010,34207,375939,68354,608106,19554,412768,2187,37887,3153,64120,3331,39084,,,Q2,2010,578,10679,4781,32768,722,14249,327,6009,137194,1601609,
Q3,2010,34413,327217,54339,505699,18283,374786,1989,34757,2618,57677,2752,33771,,,Q3,2010,586,10422,4610,28356,594,12387,368,5038,120552,1390110,
Q4,2010,39774,364572,75122,593519,22319,420713,2696,38051,3182,64458,4036,39947,,,Q4,2010,624,9945,8998,40288,906,14766,455,6658,158112,1592917,
Q1,2011,33930,358714,67568,598047,20916,424359,2255,36377,3239,64970,3507,38408,,,Q1,2011,667,10466,6189,32269,730,14354,358,6162,139359,1584126,
Q2,2011,41279,387641,67586,630010,22884,430758,2666,38461,3517,66073,5073,38849,,,Q2,2011,670,10729,6132,32193,812,15137,332,5833,150951,1655684,
Q3,2011,37162,329303,54511,516854,19121,373933,2438,36458,3467,60950,3175,34727,,,Q3,2011,675,10914,6034,29712,672,12914,276,5428,127531,1411193,
Q4,2011,37181,370941,77485,597648,24859,425264,2711,39704,3581,65436,4736,39867,,,Q4,2011,775,10403,9985,43408,808,15531,361,6364,162482,1614566,
Q1,2012,36030,376521,74476,618831,25051,434404,2515,39981,4158,65850,4851,40231,,,Q1,2012,718,10208,7364,33241,730,14707,398,6456,156291,1640430,
Q2,2012,44444,387063,73926,626887,25581,449503,2506,40658,3419,66536,3933,39110,,,Q2,2012,738,10148,6684,33736,700,14879,356,6041,162287,1674561,
Q3,2012,40651,338436,58497,536596,21644,395510,2223,38578,2807,59046,3693,35068,,,Q3,2012,680,9651,7131,31860,589,12087,321,5318,138236,1462150,
Q4,2012,43649,372231,76842,613740,26419,440881,2641,39688,4281,66566,4813,40423,,,Q4,2012,745,9770,10793,39027,801,14729,431,6428,171415,1643483,
Q1,2013,39852,370154,75749,614131,28025,442415,2874,38464,4483,64469,5124,39522,,,Q1,2013,1011,9814,10314,32477,715,13690,426,6507,168573,1631643,
Q2,2013,41851,373979,73681,618156,25743,444228,2854,39545,4244,64812,4656,38429,,,Q2,2013,969,10297,9750,32505,720,13980,510,6407,164978,1642338,
Q3,2013,36558,329762,59252,538282,22273,397651,2434,35639,3332,60203,3467,33950,,,Q3,2013,699,9950,8426,33262,577,10511,309,5934,137327,1455144,
Q4,2013,38552,347455,74425,577253,25029,422500,2808,37374,4113,65098,5378,38911,,,Q4,2013,793,9723,12648,34871,709,12351,456,6487,164911,1552023,
Q1,2014,36445,337772,75283,587159,23458,410379,2822,38127,4054,59884,5797,36824,,,Q1,2014,809,9205,11914,31857,722,12168,517,6727,161821,1530102,
Q2,2014,44009,357250,74315,612310,25419,427122,2933,38777,4256,64723,5938,37729,,,Q2,2014,935,10096,9984,29136,741,12217,492,6397,169022,1595757,
Q3,2014,41439,314383,65846,520309,22021,383273,2455,34125,4426,57389,5721,33768,,,Q3,2014,805,8938,10472,36276,594,10027,492,5876,154271,1404364,
Q4,2014,40741,331049,71243,566001,23796,405512,2626,34378,4037,59108,6609,36174,,,Q4,2014,797,8865,9964,34155,786,11825,764,7027,161363,1494094,
Q1,2015,35422.4,325454,67566.3,560847,23177,405541,2713,33126,4158,58695,5053,33744,,,Q1,2015,687.2,8554,10516,30854,710,11289,556.4,7001,150559.3,1475105,
Q2,2015,34467,335228,65515,571295,23875,412203,2391,40298,3979,59781,4105,34994,,,Q2,2015,831,9593,7934,31724,642,11491,492,6816,144231,1513423,
Q3,2015,34820,271306,47385,457447,17938,332533,1968,37574,2954,50807,3743,29258,,,Q3,2015,656,7980,8105,33366,429,8395,378,5524,118376,1234190,
Q4,2015,31025.1,319422,55718.6,545969,21375,402361,2208,66838,3255.4,57606,4349.4,35826,,,Q4,2015,828.7,8895,8694.6,35223,530.8,10594,500.8,6680,128486.4,1489414,
Q1,2016,26206,289235,47431.46,487162,19433.36,373650,2066,32338,2960,52113,4627,32525,,,Q1,2016,644,7589,6011,27199,443,9996,409,6000,110230.81999999999,1317807,
Q2,2016,29382.134,297082,50309.912,494260,18399.839,357485,1868.878,30482,3055.131,56270,3219.38,32941,,,Q2,2016,689.915,7815,6157.619,27998,504.369,10184,491.582,6165,114078.759,1320682,
Q3,2016,21767,224812,34122,365085,14676,284432,1607,26230,2117,42529,2469,26311,,,Q3,2016,451,6355,5682,23747,339,7190,339,5066,83569,1011757,
Q4,2016,25288,275681,45500,470545,17575,348678,1859,30554,2691,51821,3113,32469,,,Q4,2016,652,7238,4959,28161,487,9840,450,6395,102574,1261382,
Q1,2017,23835,254156,37800,432691,17237,315715,2167,27284,2990,48205,4360,28954,,,Q1,2017,686,6605,5041,23897,498,9240,497,6178,95111,1152925,
Q2,2017,22460,237899,36904,395942,15136,295635,1896,24681,2713,46001,3279,25364,,,Q2,2017,590,6435,4711,24250,434,8131,471,5068,88594,1069406,
Q3,2017,20021,204877,28840,334003,13162,269573,1923,24664,2334,39728,3062,23162,,,Q3,2017,573,6237,6023,24195,390,7108,382,4562,76710,938109,
Q4,2017,21830,234632,38288,406150,15588,312365,2150,27487,2778,46428,3221,27707,,,Q4,2017,660,6892,6532,26991,514,9418,441,6007,92002,1104077,
Q1,2018,19021,195426,32388,330322,13575,262813,1783,20963,2451,39938,2537,23138,,,Q1,2018,461,5815,4556,19726,421,7882,417,4866,77610,910889,
Q2,2018,17891.055,180325,27798.049,298441,12000.615,236985,1461.493,20082,2183.896,36512,3428.714,21008,,,Q2,2018,498.046,5993,4053.575,20065,447.93,7672,424.71,4528,70188.083,831611,
Q3,2018,16658.696,167018,25372.035,269974,11443.659,225344,1536.216,20464,1901.059,33515,2157.571,19738,,,Q3,2018,511.25,5852,4369.725,20560,537.035,7352,272.179,4134,64759.425,773951,
Q4,2018,16987.763,178714,30061.963,307236,13210.67,241030,1796.89,22867,2269.645,37702,2537.951,22596,,,Q4,2018,465.08,6094,4291.431,21236,394.161,8778,504.47,4949,72520.02399999998,851202,
Q1,2019,15252.081,163360,26774.299,271771,11669.22,222689,1737.75,20715,2599.963,35051,3067.417,20028,,,Q1,2019,539.391,5333,3664.158,17989,391,7216,451.682,4483,66146.96100000001,768635,
Q2,2019,16182.511,153932,27979.769,250235,10697.611,203693,1577.64,18957,2587.479,33055,2150.312,17364,,,Q2,2019,419.474,5056,3521.241,17950,370.472,6541,286.049,3766,65772.558,710549,
Q3,2019,15373.985,145800,25195.966,232388,10440.644,192137,1760.49,19345,2157.431,30041,2139.007,11644,,,Q3,2019,450.785,5107,4689.734,19390,845.891,6579,354.828,3796,63408.761000000006,666227,
Q4,2019,15403.913,158090,27369.74,260965,11160.565,205425,1719.061,20967,2610.081,33753,1708.712,14431,,,Q4,2019,646.742,5810,3818.722,19066,371.392,7721,335.833,4093,65144.761000000006,730321,
Q1,2020,11462.5539061,132629,24124.02467896,212706,9501.65023464,166960,1108.2569823,11587,1778.29940225,19329,1152.16055757,7790,,,Q1,2020,412.8978284,3415,2107.89863711,10906,189.76118161,3911,296.79943553,2349,52134.30284447001,571582,
Q2,2020,8998.74,96073,18407.12,137309,6058.91,103733,---,---,---,---,---,---,,,Q2,2020,---,---,---,---,---,---,---,---,33464.770000000004,337115,
Q3,2020,10484.66583112,103867,17973.31981621,166966,8041.63333672,132375,1503.76817352,16787,2419.17667527,24525,1229.56956189,9028,,,Q3,2020,755.02904132,4851,1956.36203804,10052,869.93372886,8023,295.94121262,2906,45529.39941557,479380,
