,,,,,,,,,,,,,,,,,,,,,,,,,,,
القائمة الرئيسية   Main List,,,,,,,,,,,,,قائمة الإحصاءات النقدية والمالية       Money & Banking Stat. List,,,القائمة الرئيسية   Main List,,,,,,,,,,,قائمة الإحصاءات النقدية والمالية       Money & Banking Stat. List
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 26c: Inter Bank Clearing of Commercial Cheques by Cities,,,,,,,,,,,,,جدول 26c: عمليات المقاصة المصرفية للشيكات التجارية بين المصارف حسب المدن,,,Contd.2 table 26c: Inter Bank Clearing of Commercial Cheques by Cities,,,,,,,,,,,تابع 2 جدول 26c: عمليات المقاصة المصرفية للشيكات التجارية بين المصارف حسب المدن
(Value in Million ﷼),,,,,,,,,,,,, (القيمة بالمليون ﷼),,,(Value in Million ﷼),,,,,,,,,,, (القيمة بالمليون ﷼)
,,Jeddah    جدة,,Riyadh  الرياض,,Dammam   الدمام,,Abha  أبهـا,,Buraydah  بريدة,,Almadinah   المدينة,,,,,,Ta'if  الطائف,,Makkah  مكــــة,,Tabuk  تبـوك,,Jazan  جازان,,Grand Total  الإجمالي,
2012,,64017,251633,104218,415213,33831,210067,403,6999,77,16173,3060,17585,,,2012,,971,9414,2061,10832,688,5941,59,2038,209385,945895
2013,,72413,226062,124444,375082,38554,199492,369,7547,144,5363,988,11445,,,2013,,1043,6488,4313,7090,766,4491,62,1406,243096,844466
2014,,74990.7,206568,127072.2,352625,36095.2,171706,409.2,7480,135.2,6995,7972.1,13613,,,2014,,1146.55,7807,2129.7,8722,900,5107,60.9,1648,250911.75,782271
2015,,64230,218047,104884,360468,33179,170512,488,6887,179,12311,9854,31104,,,2015,,840,25821,1026,21274,784,6669,69,94630,215533,947723
2016-12-31T00:00:00,,44139,150626,76557.42,228883,23359.445,125722,361.64,6155,89.547,5317,688.6030000000001,9569,,,2016-12-31T00:00:00,,753.45,7442,953.323,4539,671.143,4649,52.127,2741,147625.69800000003,545643
2017,,31945,130020,72530,206700,20844,117168,451,5314,129,8147,192.372,9419,,,2017,,734,4774,932.175,6696,556.2760000000001,5535,49,1620,128362.823,495393
2018,,25593.423,105359,61246.269,176578,18264.897,96908,262.599,3455,142.071,6378,475.628,10973,,,2018,,757.049,3707,1318.4560000000001,5623,581.933,2707,47.54600000000001,1002,108689.871,412690
2019,,25842.446,95808,79264.198,186501,22084.86,90969,245.36900000000003,3190,82.169,4467,468.765,9245,,,2019,,695.279,3712,1332.13,3980,753.441,3519,49.854,1542,130818.51100000001,402933
2020-12-31T00:00:00,,27355.97025908,64095,83640.43486193,156736,22572.96391161,72598,186.23868556000002,1567,74.46299958,2327,124.38232577999999,3194,,,2020-12-31T00:00:00,,98.26729861000001,928,303.96507978,1942,958.76096527,3158,65.9191098,888,135381.36549699996,307433
2021,,37256.3894901,61986,118812.33186855,167421,27411.71771035,75077,218.36351549999998,1765,184.86793428,4788,154.95758585000002,4691,,,2021,,67.5142187,598,138.1776437,4376,1263.0851851500001,4416,73.03963335,1283,185580.44478553004,326401
2022-12-31T00:00:00,,37926.41525663,61394,108851.06801228001,136979,28985.871603139996,61056,143.83091518,1669,47.84098605,6370,193.32347353,5583,,,2022-12-31T00:00:00,,39.59513886,380,899.66785966,6597,1190.89981702,2903,24.846535519999996,3530,178303.35959787,286461
2023-12-31T00:00:00,,27604.11593117,44323,97037.22213858,105962,24839.009003609997,48727,143.53317502,1462,55.826716059999995,6879,206.02004391999998,5047,,,2023-12-31T00:00:00,,112.19931222,379,264.88115612,2696,916.69971146,2314,26.4812215,2025,151205.98840966003,219814
2024-12-31T00:00:00,,34816.4575577,48612,157306.88253077999,124836,25380.714295889997,41885,161.44905556,1342,40.73794407,7701,220.73612333,3793,,,2024-12-31T00:00:00,,310.30026502,493,39.68242919,1924,1102.91541778,2746,39.61562529,2135,219419.49124460993,235467
2025-12-31T00:00:00,,39423.08216185,44412,122198.96213199999,88260,22524.26325795,32709,397.33017968999997,960,16.54818132,2864,45.06969001,1255,,,2025-12-31T00:00:00,,---,---,34.1710942,2019,845.73465988,2142,16.82727651,544,185501.98863340996,175165
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1,1996,194081.6,141797,483204.3,145845,16083.5,91734,4.6,144,110.8,640,278.5,5799,,,Q1,1996,339.7,6197,616.6,3382,182.1,6014,158.8,13289,695060.5,414841
Q2,1996,225935,154674,524124.2,166587,13997.8,101427,1.4,40,107.8,724,231,5982,,,Q2,1996,273.7,4853,754.6,3579,174.1,6456,177.6,15003,765777.2,459325
Q3,1996,227842.7,156935,498110.6,142705,13367.5,93861,1.5,135,73.3,825,232.1,6338,,,Q3,1996,374.2,5120,511,3526,178.8,6994,192.4,14857,740884.1000000001,431296
Q4,1996,213108.2,145853,556147.8,156150,16477.6,97963,7.7,219,80.4,1020,447.5,7714,,,Q4,1996,349.3,5794,516,4159,254.7,8219,127.7,10780,787516.8999999999,437871
Q1,1997,170943.8,131822,504289.2,148979,16399.6,95011,6.7,193,71.9,684,294.4,6842,,,Q1,1997,313.1,4993,586.6,3280,264.6,9159,34.7,1449,693204.5999999999,402412
Q2,1997,92280.3,139392,246938.5,153542,13104.1,97751,4.8,197,86.1,766,345.1,7276,,,Q2,1997,306.5,4936,1113.4,5190,247.5,9789,32.3,1282,354458.5999999999,420121
Q3,1997,13597.5,127363,30064.2,134139,5616.5,91004,4.2,195,92.1,947,212.6,7268,,,Q3,1997,333.9,4263,512,3733,268.5,10670,34.3,1014,50735.799999999996,380596
Q4,1997,10526.3,121692,11920,139526,4585.8,87500,9.4,342,109.5,976,256.4,7554,,,Q4,1997,206,5171,515,4015,245,9966,25.8,979,28399.2,377721
Q1,1998,10175.6,115307,11191.6,130876,4736.3,79288,8.5,206,92,752,210.9,7473,,,Q1,1998,183.3,4758,449.4,3123,202.9,7611,27.5,802,27278.000000000004,350196
Q2,1998,10810,118068,10383,138245,4628,82255,8,328,80,698,280,8094,,,Q2,1998,153,4525,605,3972,221,8608,20,1493,27188,366286
Q3,1998,9168,114302,8789,135773,4085,77912,11,485,25,649,269,8003,,,Q3,1998,171,4745,236,3382,185,9868,10,1195,22949,356314
Q4,1998,9150,113293,10568,145826,4635,79245,18,722,27,687,266,9020,,,Q4,1998,302,5007,424,3676,207,10053,19,1188,25616,368717
Q1,1999,8424,98275,9529,132268,4130,72928,12,528,23,459,221,8415,,,Q1,1999,183,4092,346,2972,163,7964,11,499,23042,328400
Q2,1999,10297,109261,10379,155450,4551,81284,15,573,26,534,239,9579,,,Q2,1999,153,4983,654,2433,186,8805,11,383,26511,373285
Q3,1999,9474,102753,10033,144507,4357,78096,17,497,25,579,322,8035,,,Q3,1999,301,4939,385,2346,152,5548,18,448,25084,347748
Q4,1999,8265,104946,12165,155144,4536,78402,10,521,25,619,486,11870,,,Q4,1999,304,5073,463,2377,218,10155,7,43,26479,369150
Q1,2000,7896,96739,11955,140368,4192,77697,9,358,17,483,166,9370,,,Q1,2000,148,4227,471,1791,164,8923,67,457,25085,340413
Q2,2000,9670,105109,11739,155609,4517,88051,9,435,38,878,200,11080,,,Q2,2000,153,4666,814,3279,178,8994,520,960,27838,379061
Q3,2000,8321,99508,9444,142047,4035,80490,9,427,30,673,165,8067,,,Q3,2000,181,4350,441,2599,199,9766,322,970,23147,348897
Q4,2000,8008,92398,13699,145015,4266,71219,19,519,32,638,296,6113,,,Q4,2000,172,4081,488,2794,224,8102,353,1111,27557,331990
Q1,2001,8959,97970,14358,146975,4984,78109,14,399,25,552,260,2341,,,Q1,2001,166,3800,709,3926,214,8884,334,1221,30023,344177
Q2,2001,10278,103094,15994,152951,4912,71076,19,450,40,658,223,3173,,,Q2,2001,188,3915,1036,5766,200,8336,226,1273,33116,350692
Q3,2001,8857,93246,12804,132668,6366,80309,11,403,45,1021,117,2374,,,Q3,2001,213,3781,536,4231,204,8227,90,1089,29243,327349
Q4,2001,8265,85498,14296,130347,4331,62755,18,475,37,671,305,2180,,,Q4,2001,160,3166,226,4767,264,8390,124,1576,28026,299825
Q1,2002,8997,89250,15435,134931,5422,73723,11,119,30,552,129,1685,,,Q1,2002,142,2983,731,5065,144,5435,93,1049,31134,314792
Q2,2002,10792,92018,18285,146046,6284,74447,6,117,131,727,239,1587,,,Q2,2002,168,3299,633,6161,136,4424,28,725,36702,329551
Q3,2002,9411.88,92592,13873.65,130678,5830.79,74499,21.54,184,69.66,922,160.45,1833,,,Q3,2002,281.06,3914,394.35,4920,130.37,4018,11.12,808,30184.87,314368
Q4,2002,9581.62,87038,16009.47,122818,5659.29,65337,9.27,197,41.31,976,114.92,1558,,,Q4,2002,164.81,3500,253.85,4008,121.82,4128,18.62,758,31974.98,290318
Q1,2003,9238.394,88522,16953.633,129002,5023.165,68559,12.06,120,37.661,826,156.137,1779,,,Q1,2003,233.544,3670,912.779,4568,139.355,4498,19.899,805,32726.627000000004,302349
Q2,2003,11899,96110,18525,135817,6079,71822,5,145,44,1325,357,1972,,,Q2,2003,245,3846,704,5619,152,4125,20,1065,38030,321846
Q3,2003,11039,92192,15090,123839,4403,66390,11,139,43,1242,244,1213,,,Q3,2003,219,3982,207,6798,116,5276,21,884,31393,301955
Q4,2003,9020,76101,16805,120963,4142,61870,2,32,89,1216,354,1592,,,Q4,2003,177,2935,250,5247,183,5286,18,565,31040,275807
Q1,2004,9600,75224,19704,120310,5341,64277,5,33,51,1145,218,1626,,,Q1,2004,210,3321,809,7688,131,3915,13,1149,36082,278688
Q2,2004,12124,84637,19649,128354,6150,67320,3,37,86,1117,504,1929,,,Q2,2004,249,3226,742,6600,114,4633,14,952,39635,298805
Q3,2004,9888,79338,11536,100112,4609,62846,1,24,88,1054,188,1542,,,Q3,2004,199,3111,276,5006,158,3847,10,778,26953,257658
Q4,2004,9828,77799,18723,119315,5320,68999,1,20,50,1041,469,1735,,,Q4,2004,359,3508,537,8616,168,3401,19,746,35474,285180
Q1,2005,10825,80609,20233,121118,5068,64833,1,7,69,1772,364,2177,,,Q1,2005,265,3508,1181,7579,132,4423,10,751,38148,286777
Q2,2005,11099.7,89989,20732.6,131274,4884.5,67942,10,16,76,2092,216.7,2556,,,Q2,2005,236.5,3962,610.7,7451,140.7,4535,11.8,1198,38019.2,311015
Q3,2005,8816.9,80396,15942.3,108092,4083.7,64495,3.9,21,52.8,1514,236.1,2215,,,Q3,2005,354.3,3634,155.8,5538,90.5,3069,8.2,1222,29744.499999999996,270196
Q4,2005,9819.9,79352,16551.18,109912,4070.605,63449,1.3,45,39.73,1235,233.4,2043,,,Q4,2005,780.02,3569,329.03,5564,116.54,2795,11.12,1637,31952.825,269601
Q1,2006,8676.1,68967,16747.3,106631,4414.5,63066,3.9,25,36.1,1220,239.4,2374,,,Q1,2006,177.9,2863,972.1,5807,131.2,2652,11.2,1067,31409.700000000004,254672
Q2,2006,10115.2,74744,20823.8,120209,4856.96,64959,3.7,20,41.2,1398,512.98,2926,,,Q2,2006,174.1,2628,686.99,7140,85.9,3565,9.3,1008,37310.13,278597
Q3,2006,8213.2,65326,11865.7,90587,3788.48,53060,3.8,29,26.58,1393,760.9,2530,,,Q3,2006,152.6,2477,171,6107,67.2,2709,17.2,749,25066.660000000003,224967
Q4,2006,9947.352,64430,16828.842,95980,4081.334,55288,1.268,13,84.131,1727,369.147,2353,,,Q4,2006,137.472,2458,455.971,5586,117.939,2434,18.749,704,32042.205000000005,230973
Q1,2007,9948.285,68000,16760.061,93869,3542.951,38576,8.051,25,33.264,1348,193.748,2589,,,Q1,2007,138.883,2508,774.607,5308,77.561,2646,7.677,590,31485.088000000003,215459
Q2,2007,12829.099,75431,25821.201,102651,7262.229,60843,2.256,10,25.479,1439,126.127,3121,,,Q2,2007,106.129,2677,685.749,4942,68.536,2472,10.46,1241,46937.26500000001,254827
Q3,2007,10232.2,71827,16807.4,84281,7910.1,59732,1.9,29,16.4,1428,119.4,2861,,,Q3,2007,154.6,2598,200.7,4837,68.8,2148,13.9,739,35525.40000000001,230480
Q4,2007,12180,67468,20637.54,89094,6421,58955,2.54,20,15,1163,688,12564,,,Q4,2007,95,2095,594,4857,79,2111,28.1,900,40740.18,239227
Q1,2008,14884.4,81521,32084.6,98583,10344.3,67753,1.5,17,24.5,1545,595,3086,,,Q1,2008,144,2216,590.3,4753,124.6,2336,14.5,977,58807.700000000004,262787
Q2,2008,18908,79910,29195.7,102740,11235.7,64374,47.8,1243,14.6,1351,149.9,3389,,,Q2,2008,176.5,2551,749.7,4606,124.8,1929,10.6,1246,60613.299999999996,263339
Q3,2008,12447.3,69361,18414,88948,6516,53934,108,2047,13,1184,167,2577,,,Q3,2008,189.3,2510,624,3429,69,1840,9,694,38556.600000000006,226524
Q4,2008,9062,66838,13919,91576,4840,51186,63,1713,13,1069,166,2722,,,Q4,2008,151,2631,952,3668,80,2542,8,809,29254,224754
Q1,2009,9281,66292,13318,83380,4654,55695,76,1969,13,1030,247,3056,,,Q1,2009,172,2541,716,3352,59,1979,16,1005,28552,220299
Q2,2009,12099,72427,18287,99202,6920,63597,67,1625,15,899,295,2774,,,Q2,2009,189,2736,1213,3874,142,1791,18,876,39245,249801
Q3,2009,11533.5,71177,14232.7,80354,4899.3,48748,111,1891,19.8,587,175.5,2673,,,Q3,2009,189.5,2391,348.9,3454,116.3,1376,6.4,295,31632.9,212946
Q4,2009,11583,75750,22023,91934,6759,51495,113,1831,25,575,173,3158,,,Q4,2009,265,3196,494,6382,113,1531,13,441,41561,236293
Q1,2010,13233,76012,25684,98806,7974,52021,75,1673,13,648,149,2870,,,Q1,2010,243,2869,666,4682,94,1463,13,454,48144,241498
Q2,2010,14026,65390,25734,96735,7633,47263,141,2014,23,975,214,2810,,,Q2,2010,389,2238,799,3259,126,1430,15,454,49100,222568
Q3,2010,11209,60483,18194,113474,5541,43614,72,1777,18,1572,121,2283,,,Q3,2010,184,1496,489,2208,99,1482,9,345,35936,228734
Q4,2010,15051,66786,23738,93353,7145,48558,115,1783,20,1956,212,3544,,,Q4,2010,267,2496,1152,3335,126,1590,16,519,47842,223920
Q1,2011,12561,57657,25066,89971,7640,48214,122,1797,17,1840,141,3295,,,Q1,2011,334,2358,378,2808,216,1678,16,447,46491,210065
Q2,2011,16353,64375,33793,94352,10336,53257,82,1693,35,3148,232,4729,,,Q2,2011,214,2596,1213,2914,234,1781,10,492,62502,229337
Q3,2011,15544,58614,21350,89674,7089,47882,106,1642,14,3081,762,4533,,,Q3,2011,268,2915,245,2309,240,1603,11,399,45629,212652
Q4,2011,16075,66867,30061,103113,9371,53587,97,1926,68,3923,596,4243,,,Q4,2011,418,2647,401,2742,195,1505,18,512,57300,241065
Q1,2012,17191,65983,27800,106159,9576,55271,106,1899,20,4127,1210,4415,,,Q1,2012,294,2848,558,3131,184,1555,20,713,56959,246101
Q2,2012,17254,67185,27785,110475,9276,54471,121,1659,23,6477,343,5846,,,Q2,2012,217,2360,716,2346,135,1336,13,511,55883,252666
Q3,2012,13089,57200,20131,96426,5986,48030,78,1653,16,4158,333,3572,,,Q3,2012,233,2176,416,2228,156,1385,14,386,40452,217214
Q4,2012,16483,61265,28502,102153,8993,52295,98,1788,18,1411,1174,3752,,,Q4,2012,227,2030,371,3127,213,1665,12,428,56091,229914
Q1,2013,18212,62423,34813,103121,11862,55980,112,1833,46,1878,246,4020,,,Q1,2013,328,1951,1346,1799,222,1357,20,487,67207,234849
Q2,2013,20084,60784,35430,98878,10427,51919,81,1868,28,1271,273,2942,,,Q2,2013,270,1706,1091,2062,182,1146,14,410,67880,222986
Q3,2013,14331,48272,20253,79781,6843,42969,73,1638,45,507,202,2101,,,Q3,2013,180,1196,928,1393,146,940,15,198,43016,178995
Q4,2013,19786,54583,33948,93302,9422,48624,103,2208,25,1707,267,2382,,,Q4,2013,265,1635,948,1836,216,1048,13,311,64993,207636
Q1,2014,16968,56061,33710,94722,9322,44880,96,1902,53,2053,234,3474,,,Q1,2014,300,2122,304,1327,229,1156,24,422,61240,208119
Q2,2014,21490,55634,37444,97328,11458,46419,104,1911,33,2098,677,3907,,,Q2,2014,256,1681,1616,4811,233,1355,11,445,73322,215589
Q3,2014,20192,46363,27802,79508,6953,39901,117,1696,12,1288,4031,2689,,,Q3,2014,208.55,1835,41.7,985,214,1324,11.9,342,59583.74999999999,175931
Q4,2014,16341,48510,28116,81067,8362,40506,92,1971,37,1556,3030,3543,,,Q4,2014,382,2169,168,1599,224,1272,14,439,56766,182632
Q1,2015,15643,43370,25356,81139,8430,38047,109,1713,27,1425,3189,3020,,,Q1,2015,195,2097,405,642,221,1323,13,473,53588,173249
Q2,2015,18663,65007,32672,77873,10171,53303,102,1707,103,6318,2794,6838,,,Q2,2015,271,14585,294,11090,196,1980,7,1356,65273,240057
Q3,2015,16219,65958,20744,76224,6959,40045,110,1515,33,3244,2181,14119,,,Q3,2015,179,6757,70,7753,168,2055,16,17212,46679,234882
Q4,2015,13705,43712,26112,125232,7619,39117,167,1952,16,1324,1690,7127,,,Q4,2015,195,2382,257,1789,199,1311,33,75589,49993,299535
Q1,2016,15247,41653,20929,63330,7441,34839,95,1599,18,1145,230,2842,,,Q1,2016,185,1997,486,948,217,1292,15,1894,44863,151539
Q2,2016,13184,41426,22709.42,62175,6453.445,34180,94.64,1531,48.547,1849,232.603,3103,,,Q2,2016,231.45,2214,159.323,1638,214.143,1379,12.127,241,43339.69799999999,149736
Q3,2016,7912,30033,15947,46073,4561,25663,69,1319,6,857,125,1721,,,Q3,2016,128,1425,70,620,117,935,10,203,28945,108849
Q4,2016,7796,37514,16972,57305,4904,31040,103,1706,17,1466,101,1903,,,Q4,2016,209,1806,238,1333,123,1043,15,403,30478,135519
Q1,2017,8327,34808,18508,54064,5740,30164,120,1446,7,1152,45,2097,,,Q1,2017,172,1650,391,961,163,2029,18,278,33491,128649
Q2,2017,8245,32979,19648,54195,5554,29244,85,1386,31,2227,35,2340,,,Q2,2017,193,1112,218,2032,132,1153,10,334,34151,127002
Q3,2017,6983,29343,15999,43916,3985,26324,143,1144,8,1502,42.372,2302,,,Q3,2017,132,872,132,1380,114,959,4,611,27542.372,108353
Q4,2017,8390,32890,18375,54525,5565,31436,103,1338,83,3266,70,2680,,,Q4,2017,237,1140,191.175,2323,147.276,1394,17,397,33178.451,131389
Q1,2018,6730,27618,16397,45941,4952,26510,71,950,48,2185,186,3963,,,Q1,2018,333,1154,566,1914,129,747,9,230,29421,111212
Q2,2018,7853.601,26302,13651.942,42694,3871.853,23601,63.229,877,19.049,1534,57.477,2459,,,Q2,2018,154.131,987,47.668,1216,134.712,591,4.312,288,25857.974,100549
Q3,2018,5133.647,26619,14096.664,38027,3619.003,22650,71.808,773,11.752,1285,92.442,1768,,,Q3,2018,110.155,774,60.075,1081,96.488,540,6.192,262,23298.226000000002,93779
Q4,2018,5876.175,24820,17100.663,49916,5822.041,24147,56.562,855,63.27,1374,139.709,2783,,,Q4,2018,159.763,792,644.713,1412,221.733,829,28.042,222,30112.671000000002,107150
Q1,2019,6845.618,24849,21125.38,50050,5925.042,23620,58.649,816,9.609,1083,156.842,2157,,,Q1,2019,212.502,719,569.364,1111,193.513,942,12.157,280,35108.67599999999,105627
Q2,2019,6127.022,22561,17898.261,43533,5107.844,21517,60.816,788,15.651,1107,52.831,2192,,,Q2,2019,124.391,848,43.942,874,196.042,785,3.979,252,29630.779,94457
Q3,2019,5969.447,23272,18839.828,43087,5036.558,21566,68.222,780,18.326,965,143.61,2432,,,Q3,2019,228.792,1146,107.124,898,240.29,1097,14.032,490,30666.229000000007,95733
Q4,2019,6900.359,25126,21400.729,49831,6015.416,24266,57.682,806,38.583,1312,115.482,2464,,,Q4,2019,129.594,999,611.7,1097,123.596,695,19.686,520,35412.827,107116
Q1,2020,6369.59668223,19952,22191.52064655,47397,5670.92045219,21146,38.46121472,488,28.45190487,674,32.05714542,979,,,Q1,2020,21.82337901,212,29.66438619,454,264.17141364,873,48.18721789,166,34694.854442710006,92341
Q2,2020,4162.259,11446,17303.605,25887,3801.503,11706,---,---,---,---,---,---,,,Q2,2020,---,---,---,---,---,---,---,---,25267.367000000002,49039
Q3,2020,6905.29513728,14962,18921.15054126,37057,5068.64770242,17470,48.68217665,531,11.03416352,735,38.41524816,1108,,,Q3,2020,63.15254196,600,149.23944268,576,280.79898107,1051,8.19596987,296,31494.61190487,74386
Q4,2020,9918.81943957,17735,25224.15867412,46395,8031.892757,22276,99.09529419,548,34.97693119,918,53.9099322,1107,,,Q4,2020,13.29137764,116,125.06125091,912,413.79057056,1234,9.53592204,426,43924.53214942,91667
Q1,2021,10872.69107174,17645,32083.13804187,49914,8642.57737167,23285,92.21122055,543,70.18410499,1160,64.43417675,953,,,Q1,2021,35.1423231,152,25.5888911,793,469.31656201,1703,34.16496808,263,52389.44873186,96411
Q2,2021,9552.1268164,13167,26786.221354,38619,6382.61029612,18305,49.68762565,411,59.61356995,1232,23.51347273,981,,,Q2,2021,13.34420912,167,56.75206709,851,255.61689517,729,17.98781641,215,43197.47412264001,74677
Q3,2021,7706.22413134,14897,28355.7822603,34677,4527.80655646,15056,51.14793369,383,30.3547542,1007,37.24925739,1119,,,Q3,2021,9.42059781,99,19.65890213,1326,215.08983903,683,11.14735595,283,40963.8815883,69530
Q4,2021,9125.34747062,16277,31587.19021238,44211,7858.7234861,18431,25.31673561,428,24.71550514,1389,29.76067898,1638,,,Q4,2021,9.60708867,180,36.17778338,1406,323.06188894,1301,9.73949291,522,49029.64034273,85783
Q1,2022,11377.19133223,17229,32763.77745148,39721,7790.16288522,17133,37.45513091,470,10.13107375,1293,38.08729972,1224,,,Q1,2022,15.63338878,117,68.81967304,1042,337.86892537,869,4.11396801,1274,52443.24112851,80372
Q2,2022,9387.9663765,14357,27884.16819648,33105,8459.78768725,15744,39.00139275,432,9.68412843,1432,38.45615977,1058,,,Q2,2022,8.12685321,100,21.31543494,838,242.47120975,611,4.35056669,555,46095.32800577,68232
Q3,2022,9225.85725141,14296,24495.0031935,30426,6884.67279188,13906,29.21512944,354,9.57558186,1712,55.08408769,1185,,,Q3,2022,5.96941548,74,266.70649178,1588,303.49298954,663,4.85626406,666,41280.433196640006,64870
Q4,2022,7935.40029649,15512,23708.11917082,33727,5851.24823879,14273,38.15926208,413,18.45020201,1933,61.69592635,2116,,,Q4,2022,9.86548139,89,542.8262599,3129,307.06669236,760,11.52573676,1035,38484.35726695,72987
Q1,2023,8141.0276395,12577,23079.715043,30804,5685.135688,12658,35.219899,397,8.032141,1723,50.964481,1432,,,Q1,2023,22.375942,103,73.508573,805,270.276185,653,4.119746,470,37370.37533750001,61622
