,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
القائمة الرئيسية   Main List,,,,,,,,,,,,,,,,,,,,,,,القطاع الخارجي       External Sector,,القائمة الرئيسية   Main List,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,القطاع الخارجي       External Sector,,القائمة الرئيسية   Main List,,,,,,,,,,القطاع الخارجي       External Sector,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 1: Balance of Payments,,,,,,,,,,,,,,,,,,,,,,,جدول 1: ميـزان المدفـوعــات,,Contd. 4 table 1: Balance of Payments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,تابع 4 جدول 1: ميـزان المدفـوعــات,,Contd.4 Table 1: Balance of Payments,,,,,,,,,,تابع 4 جدول 1: ميـزان المدفـوعــات,,,,,,,,,,,,,,,,,,,,,
(Million ﷼),,,,,,,,,,,,,,,,,,,,,,,(مليون ﷼),,(Million ﷼),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(مليون ﷼),,(Million ﷼),,,,,,,,,,(مليون ﷼),,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2005-12-01T00:00:00,2006-12-31T00:00:00,2007-12-31T00:00:00,2008-12-31T00:00:00,2009-12-31T00:00:00,2010-12-31T00:00:00,2011-12-31T00:00:00,2012-12-31T00:00:00,2013-12-31T00:00:00,2014-12-31T00:00:00,2015-12-31T00:00:00,2016-12-31T00:00:00,2017-12-31T00:00:00,2018-12-31T00:00:00,2019-12-31T00:00:00,2020-12-31T00:00:00,2021-12-31T00:00:00,2022-12-31T00:00:00,2023-12-31T00:00:00,2024-12-31T00:00:00,2025-12-31T00:00:00,,,,,Q1 2006,Q2 2006,Q3 2006,Q4 2006,Q1 2007,Q2 2007,Q3 2007,Q4 2007,Q1 2008,Q2 2008,Q3 2008,Q4 2008,Q1 2009,Q2 2009,Q3 2009,Q4 2009,Q1 2010,Q2 2010,Q3 2010,Q4 2010,Q1 2011,Q2 2011,Q3 2011,Q4 2011,Q1 2012,Q2 2012,Q3 2012,Q4 2012,Q1 2013,Q2 2013,Q3 2013,Q4 2013,Q1 2014,Q2 2014,Q3 2014,Q4 2014,Q1 2015,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022,Q1 2023,Q2 2023,Q3 2023,Q4 2023,,,,Q1 2024,Q2 2024,Q3 2024,Q4 2024,Q1 2025,Q2 2025,Q3 2025,Q4 2025,,,,,,,,,,,,,,,,,,,,,,,
Debit,199378.55,233746.31160550457,302195.073294412,373093.96888,320349.6468,358450.376155,441335.7019989999,521664.41656,564142.16304,582963.5427199999,580470.79,466571.55037196,449882.35476351,454962.93736581004,512342.87921081,463044.77,505781.16,633388.22882455,687293.51123408,773693.0166769701,827085.66586355,,مديـن,,Debit,48557.98,59544.44403669724,60379.31937614678,65264.56819266055,68083.5009090909,74172.14229357797,77812.03137614678,82127.39871559633,82908.20464000001,91330.1868,98422.24032,100433.33712,77161.8816,81154.79392000001,79915.70824,82117.26303999999,81986.095435,91673.76551999999,89541.62832000002,95248.88688000002,97482.15319900001,112423.54384,114890.1292,116539.87576,122061.39648,134487.12864,132343.68792,132772.20351999998,140281.31592,150451.28560000003,139508.15527999998,133901.40623999998,136074.394,152133.62144000002,151004.22407999999,143751.30319999997,145218.18000000002,151158.34,139218.97,144875.30000000002,126996.72931061,124223.2063493,104562.12402428,110789.49068777,111192.74406877001,113009.30375304,111010.1248746,114670.1820671,112398.14225056,117644.63,112047.13511525001,112873.03,118013.44778290001,134223.10469419,130969.2973307,129137.02940302,118141.03,112297.98,110100.3,122505.45999999999,122752.83999999998,123873.22,127823.75,131331.34999999998,141214.58000000002,155129.16374083,161880.07,175164.41508372003,169546.94728397997,168011.36287018,171318.37472289003,178416.82635703,مديـن,,Debit,182013.67181133997,185500.96270799998,197468.98176446004,208709.40039317,201322.59018724997,204953.8821435,208395.4766427,212413.7168901,,مديـن,,,,,,,,,,,,,,,,,,,,,
Of which: 1.A.a.1.1 Re-exports (credit),10772,14809,19991,21471,23768,19641,24380,27720,30513,36197,32213,29843,31866.797223,31689,41851.967145,35371,46053,50005,63375.36683199999,90598.096341,138501.498217,,ومنها: 1.أ.أ.1.1 إعادة التصدير (دائن),,Of which: 1.A.a.1.1 Re-exports (credit),3250,4047,3506,4006,4648,5495,4522,5326,5019,5751,5411,5290,5491,6095,5504,6678,5193,5028,4451,4969,5918,5639,5457,7366,7478,7079,6201,6962,5660,7777,6711,10365,8774,9362,9235,8826,8248,7102,7476,9387,8200,8160,5886,7597,7469.798799,7911.86632,6171,10314.132104,7166,8651,7950,7922,10618.346773,9823.553502,9796.859664,11613.207206,8127,7490,8238,11516,10953,8326,10550,16224,11628,14403,12764,11210,15724.234727,16046.317535,15317.278272,16287.536298,ومنها: 1.أ.أ.1.1 إعادة التصدير (دائن),,Of which: 1.A.a.1.1 Re-exports (credit),21514.263733,22405.174505,22682.814047,23995.844056,27091.05514,32761.990379,38484.53793799999,40163.91476,,ومنها: 1.أ.أ.1.1 إعادة التصدير (دائن),,,,,,,,,,,,,,,,,,,,,
1.A.a.2 Nonmonetary gold,-2302,-2399,-3565,-2553.05712,-2169.8711999999996,-2383.568245,-2891.946401,-3483.8754400000003,-3780.86496,-3882.005752,-9100.614,-4716.85,-5428.8362253899995,-9080.146412189999,-4789.62833879,3407.5699999999997,-8330.598,-15524.18184121,-19661.55754885,-21222.64346701,-21959.482760449995,,1 .أ.أ.2 الذهب غير النقدي,,1.A.a.2 Nonmonetary gold,-750,-1100,-492,-57,-665,-1107,-995,-798,-554.79536,-618.0151999999999,-673.9316799999999,-706.31488,-527.0944,-556.2880799999999,-542.2237600000001,-544.26496,-541.5809650000001,-611.4824800000001,-601.0036799999999,-629.50112,-640.5272010000001,-741.99216,-753.5388,-755.88824,-802.22352,-901.3133600000001,-900.5460800000001,-879.7924800000001,-956.8040800000001,-1024.3264000000001,-933.87272,-865.8617599999999,-886.822,-1013.22256,-1012.1163920000001,-969.8448,-2338.31,-1564.884,-2463.32,-2734.1,-1464.27,-950.19,-590.48,-1711.9099999999999,-2365.68378493,-1302.76244046,-590.48,-1169.91,-1292.8853124399998,-2485.17,-3434.72109975,-1867.37,-1211.21,-2638.41721941,66.96000000000004,-1006.96111938,-731.6700000000001,726.5799999999999,2686,726.6600000000001,-1984.3600000000001,-1946.518,-2166.985,-2232.735,-1387.88,-4298.43625917,-5563.73,-4274.13558204,-2783.54,-5377.42187533,-6463.14567352,-5037.45,1 .أ.أ.2 الذهب غير النقدي,,1.A.a.2 Nonmonetary gold,-6577.32839474,-6253.39170287,-2761.1715885599997,-5630.751780840001,-3401.0870934500003,-7749.098605300001,-4503.6576609,-6305.639400800001,,1 .أ.أ.2 الذهب غير النقدي,,,,,,,,,,,,,,,,,,,,,
Credit,663,600,393,486.48400000000004,438.47999999999996,525.4556,690.4516,763.808,809.772,868.1239999999999,1145,2868,2397.207663,1958.416222,3178.201594,7387,4162,3672.655301,5283.318166,6655.955655,11671.539553,,دائــن,,Credit,90,99,138,273,85,93,105,110,120.58,126.148,127.868,111.888,101.024,104.816,108.368,124.272,116.8236,134.652,127.768,146.212,142.4196,173.264,181.832,192.936,191.38,193.868,177.156,201.404,184.78,200.388,201.072,223.532,220.284,224.756,222.232,200.852,247,306,223,369,626,787,709,746,557,571.207663,709,560,575.472437,415,644.943785,323,546,596.229151,1017,1018.972443,849,1056,3505,1977,1106,1218,828,1010,949,1054,718,951.655301,1124,1138.562202,1510.755964,1510,دائــن,,Credit,1454.531363,1628.125902,1629.636757,1943.661633,2276.580079,2294.119103,2905.007781,4195.83259,,دائــن,,,,,,,,,,,,,,,,,,,,,
Debit,2965,2999,3958,3039.54112,2608.3512,2909.0238449999997,3582.398001,4247.683440000001,4590.63696,4750.129752,10245.614,7584.85,7826.043888390001,11038.562634189999,7967.8299327899995,3979.4300000000003,12492.598000000002,19196.83714221,24944.87571485,27878.59912201,33631.02231345,,مديـن,,Debit,840,1199,630,330,750,1200,1100,908,675.37536,744.1632,801.79968,818.20288,628.1184,661.10408,650.59176,668.53696,658.404565,746.13448,728.77168,775.71312,782.946801,915.25616,935.3708,948.82424,993.60352,1095.18136,1077.70208,1081.19648,1141.58408,1224.7144,1134.94472,1089.39376,1107.106,1237.97856,1234.348392,1170.6968,2585.31,1870.884,2686.32,3103.1,2090.27,1737.19,1299.48,2457.91,2922.68378493,1873.97010346,1299.48,1729.91,1868.35774944,2900.17,4079.66488475,2190.37,1757.21,3234.64637041,950.04,2025.93356238,1580.67,329.42,819,1250.34,3090.36,3164.518,2994.985,3242.735,2336.88,5352.43625917,6281.73,5225.79088304,3907.54,6515.98407733,7973.90163752,6547.45,مديـن,,Debit,8031.85975774,7881.51760487,4390.80834556,7574.41341384,5677.66717245,10043.2177083,7408.6654419,10501.4719908,,مديـن,,,,,,,,,,,,,,,,,,,,,
1.A.b Services ,-96567.99355390455,-133810.6019721219,-168205.69158835371,-232821.65181275347,-259804.85631902545,-262632.02212834416,-263414.2395301635,-246654.40331136118,-256862.87194703825,-346409.60918315576,-291424.5057408023,-214381.50235360584,-241324.68980640365,-251997.9163907734,-232631.13328761538,-216751.67808924208,-227378.85754739007,-205114.24324171778,-227453.94137551376,-233578.36289273237,-222267.58362929127,,1.أ.ب . الخدمات,,1.A.b Services ,-16000.729317158053,-28665.840951965904,-41332.80968219253,-47811.222020805406,-26687.871549474155,-44328.25461321547,-55114.17238282662,-42075.393042837466,-62177.618662706795,-62549.84290805764,-61980.82525602965,-46113.364985959364,-65259.18309758564,-77541.91217114501,-67360.73515316915,-49643.02589712567,-55122.29624027082,-77395.96669997937,-65122.86523646995,-64990.89395162403,-52819.854572311655,-69798.08059705558,-79294.04556920973,-61502.25879158656,-66461.41768345016,-67688.11084450695,-57810.29341336605,-54694.58137003804,-59551.940646111,-62980.21919678223,-65554.82999706344,-68775.88210708159,-91761.02360055679,-62760.204267517256,-100215.27144367674,-91673.109871405,-57772.94759727139,-78285.59661622826,-83204.85334809459,-72161.10817920811,-54774.794362896544,-54633.25417880576,-37946.38568953077,-67027.06812237276,-51641.965371295024,-72354.49675731451,-43171.17131970728,-74157.05635808682,-63007.7085911039,-58167.628342795804,-47307.150237459806,-83515.4292194139,-57551.145589055566,-55191.697642678686,-49999.44652935204,-69888.8435265291,-51556.59739711928,-62431.31298558028,-45636.166208858136,-57127.60149768437,-55129.67276198011,-50967.623116342205,-52052.12326975991,-69229.43839930784,-41314.565909477824,-79495.35522773932,-32165.424195413565,-52138.89790908707,-53012.46762408269,-41703.13602644106,-69531.8413792701,-63206.49634571987,1.أ.ب . الخدمات,,1.A.b Services ,-47454.75104333393,-51199.7627571371,-68699.64173003439,-66224.20736222682,-41218.1400204424,-64903.457278167516,-62642.48874992472,-53503.49758075661,,1.أ.ب . الخدمات,,,,,,,,,,,,,,,,,,,,,
Credit,44265.02157226309,53246.525906380186,62457.54001042044,34485.76182765029,36104.51522493447,39817.42447461033,45977.181444215676,44552.41843299754,47814.85853025211,50325.762488639986,57719.89584268135,68235.62556095593,70935.75661050259,80869.47066787645,105545.33642815656,41255.68789070653,47802.19926592848,152069.63574350995,204629.75132016835,235463.18930013874,260292.44426487724,,دائــن,,Credit,15822.852604455398,10949.68878165976,13518.57545690158,12955.40906336345,14746.598544848981,12570.98315522708,15298.458852045202,19841.49945829917,5441.48668831495,7524.93658603068,8965.032781228381,12554.30577207628,6389.199545723171,8314.51081234371,8696.2840447452,12704.52082212239,7277.12510993036,8278.26958375475,9979.79876406622,14282.231016858997,8203.08285658632,10875.555762176251,12342.70523883629,14555.837586616817,9307.81783517701,10483.54859407545,10046.85913099448,14714.192872750598,11564.40969853328,11562.23791211734,10677.130057366212,14011.08086223528,12861.85574822208,11839.71708744403,9421.395806681929,16202.793846291941,14434.703269124371,13339.6443605154,18466.45484399248,11479.09336904909,17110.19123264781,16822.54748687528,20816.751339107817,13486.13550232503,14426.016222707429,16710.24488602596,24368.963917169345,15430.53158459985,18887.34071669425,19341.52803713656,24681.14321630563,17959.45869774001,25209.525640109612,25887.132390261297,29780.10802689706,24668.5703708886,19897.95672411967,5709.13374060787,6926.63327098419,8721.9641549948,8407.237814728931,9571.99283017962,12789.41423560766,17033.554385412266,27737.861625396374,34187.36764410922,46510.28121412893,43634.12525987542,52903.9,66981.71156055157,37513.53554760114,47230.6042120156,دائــن,,Credit,64148.390829772536,68723.01535010836,46030.279863086835,56561.50325717101,73864.1157619016,62152.34717621064,58188.705099822335,66087.27622694266,,دائــن,,,,,,,,,,,,,,,,,,,,,
Debit,140833.01512616765,187057.12787850207,230663.23159877415,267307.41364040377,295909.37154395995,302449.44660295453,309391.42097437923,291206.82174435875,304677.73047729034,396735.3716717958,349144.40158348373,282617.1279145618,312260.44641690626,332867.38705864985,338176.46971577196,258007.3659799486,275181.0568133185,357183.8789852277,432083.6926956821,469041.5521928711,482560.0278941685,,مديـن,,Debit,31823.58192161345,39615.52973362566,54851.38513909411,60766.631084168854,41434.47009432314,56899.23776844255,70412.63123487182,61916.89250113664,67619.10535102175,70074.77949408832,70945.85803725803,58667.670758035645,71648.38264330881,85856.42298348872,76057.01919791436,62347.54671924806,62399.421350201184,85674.23628373412,75102.66400053617,79273.12496848303,61022.937428897974,80673.63635923184,91636.75080804602,76058.09637820338,75769.23551862716,78171.6594385824,67857.15254436054,69408.77424278864,71116.35034464428,74542.45710889957,76231.96005442966,82786.96296931687,104622.87934877886,74599.92135496129,109636.66725035867,107875.90371769694,72207.65086639576,91625.24097674366,101671.30819208708,83640.2015482572,71884.98559554435,71455.80166568104,58763.137028638586,80513.2036246978,66067.98159400246,89064.74164334047,67540.13523687662,89587.58794268667,81895.04930779815,77509.15637993236,71988.29345376544,101474.8879171539,82760.67122916518,81078.83003293998,79779.5545562491,94557.4138974177,71454.55412123895,68140.44672618815,52562.799479842324,65849.56565267917,63536.910576709044,60539.61594652182,64841.537505367574,86262.9927847201,69052.4275348742,113682.72287184854,78675.7054095425,95773.02316896249,105916.36762408269,108684.84758699263,107045.37692687123,110437.10055773547,مديـن,,Debit,111603.14187310646,119922.77810724545,114729.92159312122,122785.71061939784,115082.255782344,127055.80445437816,120831.19384974705,119590.77380769927,,مديـن,,,,,,,,,,,,,,,,,,,,,
1.A.b.1 Transport,-19430.56540735247,-23757.168982591378,-28725.2141497557,-33728.0050929061,-38525.52221154804,-42985.94971207962,-53823.89604941744,-62974.00995928336,-66875.33533150621,-68667.49084918527,-69511.62371236697,-47325.45188443152,-45506.590649668884,-44243.70391222435,-51226.368644266484,-51861.436417853656,-56867.558410519116,-64482.009999999995,-78484.0378736851,-93630.8174686215,-97378.71101836493,,1.أ.ب.1  النقـــــل,,1.A.b.1 Transport,-5631.16242425486,-5957.42495185451,-5595.68604953654,-6572.89555694547,-7307.885926069569,-6759.512165222801,-6971.1237535090595,-7686.69230495427,-8641.19717259626,-8534.28759920186,-8685.580588165449,-7866.93973294254,-9223.845285017462,-9622.248897311261,-9693.62533764409,-9985.80269157523,-9899.04127703549,-11047.20454762239,-10564.44020987424,-11475.2636775475,-12221.07909017619,-13717.56688630519,-13868.49377699916,-14016.756295936892,-14814.271659255823,-16353.52825553044,-15977.020710965922,-15829.189333531169,-16376.368488150223,-18185.0717167686,-16563.971592981732,-15749.92353360566,-16203.662081010269,-18365.04792574635,-18004.42737344937,-16094.353468979287,-17140.31029630454,-18198.46959786955,-16802.39593461749,-17370.447883575383,-12495.58601552305,-12150.029017407538,-9721.37439086576,-12958.462460635172,-12088.248523133321,-11296.640936061169,-10539.248043488451,-11582.45314698594,-10800.15433269254,-10867.095292284212,-10613.966190648789,-11962.488096598812,-11418.022570659321,-13062.492671938959,-12705.805562118829,-14040.047839549377,-12310.38626196917,-12996.66324896609,-12930.70942715882,-13623.67747975958,-13875.60481585994,-14075.842294412201,-14516.695716198008,-14399.41558404896,-13955.14238730897,-17164.711488319197,-16228.73334635618,-17133.42277801565,-19925.5,-17280.03787368507,-19738,-21540.5,1.أ.ب.1  النقـــــل,,1.A.b.1 Transport,-22415.57251850288,-22031.635449822825,-21299.65127257805,-27883.958227717758,-25716.479999999996,-26059.3546896681,-22613.22820015685,-22989.648128539964,,1.أ.ب.1  النقـــــل,,,,,,,,,,,,,,,,,,,,,
Credit,5913.86173031183,6365.491690003781,6916.43214191283,7629.5615902034,8386.1834073504,9039.81923604089,8931.153904243722,10092.97332863275,11830.67166281827,12811.85568816323,12662.74270508601,19535.65805592811,19096.795693868058,20009.09915649759,21045.18403248254,8977.06236894239,11845.239833322901,21830.989999999998,24371.36212631493,30125.609744633977,39298.49395044297,,دائــن,,Credit,1327.16016289926,1545.8903456488,1952.01909037566,1540.42209108006,1580.14944538546,1941.58404362976,1780.12686482222,1614.57178807539,1665.6349022766499,2013.0679493773,2109.71905439181,1841.13968415764,1788.2264718329498,2135.31448188257,2182.91446466541,2279.72798896947,2009.95352278408,2140.16252602686,2483.20406366103,2406.49912356892,1938.9304301061902,2212.36933691604,2357.9666769057003,2421.88746031579,2331.92487625715,2423.07117852709,2560.97435014331,2777.0029237052,3200.7740433499102,2711.8984220838097,2916.08981353272,3001.9093838518297,2942.0132423601603,2829.4416404657104,3002.50124295748,4037.89956237988,3378.27258913405,3249.7563029334096,2889.00634085823,3145.7074721603203,4905.49319152631,4990.90715488174,5550.92350319039,4088.33420632967,3665.2887438274797,4718.38365050878,5808.50526283949,4904.61803669231,4852.97241113338,4951.007953393079,5830.42772411273,4374.6910678584,5337.0539736437,5434.829097896931,5653.8169669870695,4619.48399395484,3671.91756581076,1547.73523563641,1717.48042713655,2039.9291403586699,2310.8783664602697,2594.73399352953,3025.39435316399,3914.23312016911,4493.62061513292,4833.29409016668,5832.8550107764195,6671.22028392398,5549.9,6760.96212631493,6682,5378.5,دائــن,,Credit,6859.96267957547,8357.80625511969,8259.38751938573,6648.4532905530905,9128.22,10020.93821798471,9692.8541560031,10456.48157645516,,دائــن,,,,,,,,,,,,,,,,,,,,,
Debit,25344.4271376643,30122.660672595157,35641.646291668534,41357.5666831095,46911.70561889844,52025.76894812051,62755.049953661146,73066.98328791611,78706.00699432449,81479.34653734851,82174.36641745295,66861.10994035963,64603.38634353694,64252.80306872194,72271.55267674904,60838.498786796044,68712.79824384201,86313,102855.40000000002,123756.42721325549,136677.2049688079,,مديـن,,Debit,6958.32258715412,7503.31529750331,7547.7051399122,8113.31764802553,8888.03537145503,8701.096208852561,8751.25061833128,9301.26409302966,10306.83207487291,10547.35554857916,10795.299642557258,9708.07941710018,11012.071756850411,11757.56337919383,11876.5398023095,12265.5306805447,11908.994799819571,13187.36707364925,13047.64427353527,13881.76280111642,14160.00952028238,15929.93622322123,16226.46045390486,16438.64375625268,17146.196535512972,18776.59943405753,18537.99506110923,18606.19225723637,19577.142531500132,20896.97013885241,19480.06140651445,18751.83291745749,19145.67532337043,21194.489566212058,21006.928616406847,20132.253031359167,20518.582885438587,21448.225900802958,19691.40227547572,20516.155355735704,17401.07920704936,17140.93617228928,15272.29789405615,17046.79666696484,15753.5372669608,16015.024586569949,16347.75330632794,16487.07118367825,15653.12674382592,15818.10324567729,16444.39391476152,16337.179164457211,16755.07654430302,18497.32176983589,18359.622529105898,18659.531833504218,15982.30382777993,14544.3984846025,14648.18985429537,15663.606620118251,16186.48318232021,16670.57628794173,17542.090069362,18313.64870421807,18448.76300244189,21998.005578485878,22061.5883571326,23804.64306193963,25475.4,24041,26420,26919,مديـن,,Debit,29275.53519807835,30389.441704942517,29559.03879196378,34532.41151827085,34844.7,36080.29290765281,32306.08235615995,33446.129704995124,,مديـن,,,,,,,,,,,,,,,,,,,,,
1.A.b.2 Travel,-16716,-30746.018464399996,-53211.4533218,-34570.719,-54091.2985,-54086.09,-33044.9305,-35966.4995,-37533.0905,-59547.699400000005,-34560.1057915,-20857.855222,-20610.12161149,-10729.158106168117,4843.83300772763,-18028.07477158303,-31345.09160050231,34836.58937770223,46168.224187803484,50253.56873643662,49432.46742702949,,1.أ.ب.2  السفــــر,,1.A.b.2 Travel,-386.22320000000036,-8715.244,-9823.1616898,-11821.3895746,-7117.6,-16262.0224,-21703.5762884,-8128.2546334,-10562.347,-13240.419,-8896.067,-1871.8860000000004,-19459.2105,-17574.906499999997,-11210.447,-5846.7345000000005,-13471.9145,-17999.1185,-12981.334499999999,-9633.7225,-8604.726999999999,-8456.4935,-10358.633000000002,-5625.077000000001,-10543.5855,-11517.211500000001,-9881.1495,-4024.553,-8855.317500000001,-7617.025,-10966.623000000001,-10094.125,-15792.217400000001,-9008.482,-19469.801,-15277.199,-5240.184630400001,-10980.999597999999,-6129.306301500001,-12209.6152616,-4209.025,-6086.821624999999,-642.6377970000012,-9919.3708,-3557.9125000000004,-9353.127999999999,1905.935800000001,-9605.016911490002,-3410.928870255,-2600.7632827878297,2342.283150000001,-7059.7491031252885,-167.2512000000006,299.3505750000004,4808.0895,-96.35586727237023,-1021.2547155351585,-5918.818100000471,-5652.51719442188,-5435.484761625519,-6738.720142022311,-8012.397354999999,-8580.09908019,-8013.875023289999,2435.25535234004,6903.2025256099605,12614.50960164993,12883.621898102301,16023,24549.58488785094,-1932.8413792700921,7528.480679222612,1.أ.ب.2  السفــــر,,1.A.b.2 Travel,23968.139895820626,17488.185934101573,-1279.9601033668696,10077.203009881283,26712.414115607367,5440.122085132993,3029.4226002269497,14250.50862606218,,1.أ.ب.2  السفــــر,,,,,,,,,,,,,,,,,,,,,
Credit,17333,17858.481535599996,22380.1466782,22161.281000000003,22480.0015,25170,31722.592,27870.855499999998,28692.939500000004,30893.9631,37986.4242085,41608.373528,45210.4804,51714.194,61617.7521,15134.52695,14315.2529,94512.34547950994,134958.53895678907,153610.8533796239,159856.2761619998,,دائــن,,Credit,8231.7768,2814.756,4063.3383102,2748.6104254,5513,3171.4776,4525.4237116,9170.2453666,2975.403,4284.081,5732.433,9169.364,3493.9395,4842.1935,5053.353,9090.5155,4051.9455,4887.7815,5989.3755,10240.8975,5228.193,7542.009,8589.927,10362.463,5686.8045,6433.0635,5712.8205,10038.167,6821.0325,6625.395,5886.867,9359.645,8651.8576,7355.5305,4686.699,10199.876,9954.6653696,8206.800402,13607.3036985,6217.6547384,10913.34,10428.404,13031.862828,7234.7667,9613.88,10500.512,16870.9242,8225.1642,11955.5826,12112.8696,16598.5014,11047.2404,14644.3948,14556.825,18285.39,14131.1423,12389.1779,259.5754,629.9944,1855.77925,2314.9698,2181.6746,3260.488,6558.1205,15363.67631413004,21075.18861402996,30812.17126062993,27261.30929072,36617,48935.22553198982,19682.53554760114,29723.77787719808,دائــن,,Credit,45009.13989582063,47588.18593410157,25046.88785609967,35966.63969360203,49367.11967731862,37208.00296197298,33797.82881044707,39483.32471226113,,دائــن,,,,,,,,,,,,,,,,,,,,,
Debit,34049,48604.5,75591.6,56732,76571.3,79256.09,64767.5225,63837.355,66226.03,90441.6625,72546.53,62466.228749999995,65820.60201149,62443.35210616812,56773.919092272365,33162.60172158303,45660.34450050231,59675.7561018077,88790.31476898558,103357.28464318729,110423.8087349703,,مديـن,,Debit,8618,11530,13886.5,14570,12630.6,19433.5,26229,17298.5,13537.75,17524.5,14628.5,11041.25,22953.15,22417.1,16263.8,14937.25,17523.86,22886.9,18970.71,19874.62,13832.92,15998.5025,18948.56,15987.54,16230.39,17950.275,15593.97,14062.72,15676.35,14242.42,16853.49,19453.77,24444.075,16364.0125,24156.5,25477.075,15194.85,19187.8,19736.61,18427.27,15122.365,16515.225625,13674.500625,17154.1375,13171.7925,19853.64,14964.9884,17830.18111149,15366.511470255,14713.63288278783,14256.21825,18106.98950312529,14811.646,14257.474425,13477.3005,14227.49816727237,13410.43261553516,6178.39350000047,6282.51159442188,7291.26401162552,9053.68994202231,10194.071955,11840.58708019,14571.99552329,12928.42096179,14171.98608842,18197.66165898,14377.6873926177,20594,24385.64064413888,21615.37692687123,22195.29719797547,مديـن,,Debit,21041,30100,26326.84795946654,25889.43668372075,22654.70556171125,31767.88087683999,30768.40621022012,25232.81608619895,,مديـن,,,,,,,,,,,,,,,,,,,,,
1.A.b.3 Construction,-14301.19606088843,-13957.33469872633,-13808.10433781187,-14459.003722959229,-15499.19976938842,-16864.2409810667,-11473.706810332871,-12144.38972267808,-16106.62593277054,-19044.81344922907,-22039.07664382663,-24681.66522838094,-24945.87364839572,-28516.17350493453,-27371.088905005512,-27009.603331421422,-27420.67636485862,-38809.05,-50828,-53334.54108695433,-55550.80526851388,, 1.أ.ب.3 خدمات التشييد,,1.A.b.3 Construction,-2095.12707181312,-2738.62406429649,-3691.03501878358,-5432.54854383314,-2415.82814428087,-2474.98533526869,-5077.17320189788,-3840.11765636443,-3949.1400739587,-4328.60092454343,-2872.57014944909,-3308.69257500801,-3498.22164317886,-4653.56876749008,-4439.87166039302,-2907.53769832646,-3111.75509165073,-5156.58881511153,-4111.02961002217,-4484.86746428227,-4188.76414797149,-2265.27937879036,-2113.96405682794,-2905.69922674308,-3288.43798229509,-2913.2649928412,-2250.59289165872,-3692.09385588307,-4005.8506264228,-3757.070435314,-3921.29206414968,-4422.41280688406,-4450.45064595356,-4172.29748058146,-4872.35336718996,-5549.71195550409,-7119.38589833191,-5255.09212274197,-4426.41821246541,-5238.18041028734,-6660.9894817987,-5187.44527292347,-5060.07337543628,-7773.15709822249,-6140.28675622213,-5283.57500687607,-5840.97911544627,-7681.03276985125,-6338.33180996706,-4364.11190342206,-7901.24106781304,-9912.48872373237,-6033.87409453762,-6413.2732483162,-6349.68500196038,-8574.25656019131,-7173.30772369357,-6873.99648015769,-5991.10760163431,-6971.19152593585,-7767.8464843192,-6216.93824337945,-6401.27159548305,-7034.62004167692,-6438.44858516237,-11058.91047590374,-8449.86846939818,-12861.822469535711,-11471,-12134,-14165,-13058, 1.أ.ب.3 خدمات التشييد,,1.A.b.3 Construction,-12031.05981158961,-12727.810653338602,-14870.33318679159,-13705.337435234529,-11714.82423089863,-12644.955260239029,-16577.01572843444,-14614.010048941791,, 1.أ.ب.3 خدمات التشييد,,,,,,,,,,,,,,,,,,,,,
