,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
القائمة الرئيسية   Main List,,,,,,,,,,,,,,,,,,,,,,,القطاع الخارجي       External Sector,,القائمة الرئيسية   Main List,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,القطاع الخارجي       External Sector,,القائمة الرئيسية   Main List,,,,,,,,,,القطاع الخارجي       External Sector,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 2: Balance of Payments,,,,,,,,,,,,,,,,,,,,,,,جدول 2: ميـزان المدفـوعــات,,Contd. 4 Table 2: Balance of Payments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,تابع 4 جدول 2: ميـزان المدفـوعــات,,Contd.4 Table 2: Balance of Payments,,,,,,,,,,تابع 4 جدول 2: ميـزان المدفـوعــات,,,,,,,,,,,,,,,,,,,,
(Million US$),,,,,,,,,,,,,,,,,,,,,,,(مليون US$),,(Million US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(مليون US$),,(Million US$),,,,,,,,,,(مليون US$),,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2005-12-01T00:00:00,2006-12-31T00:00:00,2007-12-31T00:00:00,2008-12-31T00:00:00,2009-12-31T00:00:00,2010-12-31T00:00:00,2011-12-31T00:00:00,2012-12-31T00:00:00,2013-12-31T00:00:00,2014-12-31T00:00:00,2015-12-31T00:00:00,2016-12-31T00:00:00,2017-12-31T00:00:00,2018-12-31T00:00:00,2019-12-31T00:00:00,2020-12-31T00:00:00,2021-12-31T00:00:00,2022-12-31T00:00:00,2023-12-31T00:00:00,2024-01-01T00:00:00,2025-01-01T00:00:00,,,,,Q1 2006,Q2 2006,Q3 2006,Q4 2006,Q1 2007,Q2 2007,Q3 2007,Q4 2007,Q1 2008,Q2 2008,Q3 2008,Q4 2008,Q1 2009,Q2 2009,Q3 2009,Q4 2009,Q1 2010,Q2 2010,Q3 2010,Q4 2010,Q1 2011,Q2 2011,Q3 2011,Q4 2011,Q1 2012,Q2 2012,Q3 2012,Q4 2012,Q1 2013,Q2 2013,Q3 2013,Q4 2013,Q1 2014,Q2 2014,Q3 2014,Q4 2014,Q1 2015,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022,Q1 2023,Q2 2023,Q3 2023,Q4 2023,,,,Q1 2024,Q2 2024,Q3 2024,Q4 2024,Q1 2025,Q2 2025,Q3 2025,Q4 2025,,,,,,,,,,,,,,,,,,,,,,
Debit,3813.652282903581,3721.9559196603545,3682.161156749832,3855.734326122461,4133.119938503579,4497.130928284454,3059.655149422099,3238.5039260474878,4295.1002487388105,5078.616919794419,5877.087105020434,6581.777394234918,6652.232972905525,7604.312934649208,8370.644932277248,7656.555291298506,7818.295210370229,11833.866666666667,15208.266666666666,16096.660320916586,16887.069500413138,,مديـن,,Debit,558.7005524834987,730.299750479064,984.2760050089547,1448.6796116888372,644.2208384748988,659.996089404984,1353.9128538394348,1024.0313750305147,1053.1040197223201,1154.293579878248,766.0187065197573,882.318020002136,932.859104847696,1240.951671330688,1183.9657761048052,775.3433862203893,829.8013577735279,1375.090350696408,1096.2745626725787,1195.9646571419387,1117.0037727923975,604.0745010107627,563.7237484874507,774.853127131488,876.9167952786906,776.8706647576533,600.1581044423253,984.5583615688187,1068.2268337127466,1001.8854494170666,1045.677883773248,1179.3100818357493,1186.7868389209493,1112.6126614883894,1299.2942312506561,1479.923188134424,1898.5029062218425,1401.3578993978588,1180.378189990776,1396.8481094099575,1776.2638618129865,1383.3187394462586,1349.3529001163413,2072.8418928593305,1637.4098016592347,1408.953335166952,1557.594430785672,2048.2754052936666,1690.2218159912159,1163.7631742458827,2106.9976180834774,2643.3303263286316,1864.2047665770294,1978.13630311344,1974.5759425966774,2553.7279199901013,2020.9793079984852,1946.5677731981414,1716.8058411830455,1972.2023689188347,2191.932990678312,1784.382749697168,1839.8649378312614,2002.1145321634879,2070.451190536928,3320.2507252215814,2643.0665867357948,3800.098164172363,3452.8,3649.3333333333335,4211.466666666666,3894.6666666666665,مديـن,,Debit,3654.514518441811,3862.626068042688,4457.392570998499,4122.127163433589,3687.152,3897.1221376097305,4924.666233066667,4378.129129736742,,مديـن,,,,,,,,,,,,,,,,,,,,
1.A.b.4 Insurance and pension services,-1074.2909978523173,-1219.6984142231865,-1384.6619429708028,-1549.498793737107,-1668.8112233972133,-1744.3541183999998,-2138.7706289333337,-2447.5891878666666,-2587.0487208,-2360.473801066667,-2309.652451866666,-1707.2038357333333,-1823.9198034754295,-1962.9710197333334,-2139.551631628104,-1877.0490629333333,-2126.1744028885732,-3190.191999999997,-4598.933333333333,-4742.534864715094,-4739.961203805006,,1.أ.ب.4 خدمات التأمين ومعاشات التقاعد,,1.A.b.4 Insurance and pension services,-277.3391135598027,-304.45709886279997,-343.59364432167206,-294.30855747891195,-342.78283765261864,-328.43075383056,-390.0593574703467,-323.38899401727735,-389.6721800906987,-426.78434544740264,-436.91672143116267,-296.1255467678427,-334.98138782122135,-467.0974743060853,-383.74570392796534,-482.98665734194134,-388.05544066666664,-468.58670706666663,-402.5656130666667,-485.14635759999993,-457.13545293333334,-551.9012034666666,-559.4378006666667,-570.2961718666667,-591.1224496,-608.2148161333333,-622.4270383999999,-625.8248837333334,-650.3059817333334,-679.2272786666667,-639.9914089333334,-617.5240514666667,-562.5774633333333,-546.6726554666667,-638.0346515999998,-613.1890306666667,-605.9616854666667,-543.0717046666666,-508.09687533333334,-652.5221863999999,-483.29669333333334,-437.1603189333334,-335.9520330666667,-450.7947904,-467.711203235808,-460.754467044296,-457.15156906666664,-438.3025641286587,-456.5723936,-467.20971199999997,-471.98274986666667,-567.2061642666666,-484.2770686070747,-555.5708162413654,-549.6388479255094,-550.0648988541546,-481.8886469333333,-453.65524106666663,-444.07353919999997,-497.43163573333334,-525.77574219772,-541.6453336,-523.5002390197067,-535.2530880711466,-703.2819829659653,-794.5688927365334,-852.3994183239653,-839.9417059735333,-837.3333333333334,-1160.2666666666667,-1307.7333333333333,-1293.6,1.أ.ب.4 خدمات التأمين ومعاشات التقاعد,,1.A.b.4 Insurance and pension services,-843.125125228584,-1197.6141790340694,-1360.706765909816,-1341.088794542624,-1205.2893560395198,-1416.761485272608,-1056.285875414048,-1061.6244870788294,,1.أ.ب.4 خدمات التأمين ومعاشات التقاعد,,,,,,,,,,,,,,,,,,,,
Credit,192.04866135532532,207.60311379811202,239.489151831296,280.186851851888,285.396441565048,333.04,288.26666666666665,416.4533333333333,512.4399999999999,196.57333333333332,352.05333333333334,254.22666666666663,58.297333333333334,85.31466666666667,77.27999999999999,107.94666666666667,127.26666666666667,521.5413333333361,562.1333333333333,954.3025672268,1219.2923338430667,,دائــن,,Credit,46.09098981711733,53.45005541817067,15.880088928586668,92.18197963423732,53.170166171501336,61.659520434176,18.319132882618664,106.340332343,62.20566300442933,72.137659618584,21.43220322001333,124.41132600886134,97.36240771257067,34.838207499048,103.36103946737333,49.834786886056,81.57333333333332,61.333333333333336,107.33333333333333,82.8,83.10666666666665,65.93333333333334,71.45333333333333,67.77333333333334,70.83999999999999,107.94666666666667,119.6,118.06666666666666,120.82666666666667,134.93333333333334,127.26666666666667,129.41333333333333,37.10666666666667,116.53333333333333,12.879999999999999,30.053333333333335,41.093333333333334,120.21333333333334,104.26666666666667,86.48,37.10666666666667,67.46666666666667,88.93333333333334,60.72,2.3613333333333335,9.016,3.3733333333333335,43.54666666666667,27.784,28.704,5.213333333333334,23.613333333333333,22.08,21.16,14.72,19.32,25.146666666666665,26.373333333333335,29.44,26.986666666666668,27.6,32.2,32.81333333333333,34.65333333333333,88.38533976246134,124.22725564228,143.62470781812533,165.30403011046934,130.66666666666666,134.13333333333333,145.06666666666666,152.26666666666668,دائــن,,Credit,225.36241617600533,231.22537249269865,242.786775769424,254.92800278867202,308.5053106271467,290.604628042968,294.6311491454987,325.5512460274533,,دائــن,,,,,,,,,,,,,,,,,,,,
Debit,1266.3396592076426,1427.3015280212983,1624.1510948020987,1829.6856455889945,1954.2076649622613,2077.3941184,2427.0372956,2864.0425211999996,3099.4887208,2557.0471343999993,2661.7057852,1961.4305024,1882.2171368087625,2048.2856864,2216.8316316281043,1984.9957296,2253.44106955524,3711.733333333333,5161.066666666667,5696.837431941894,5959.253537648072,,مديـن,,Debit,323.43010337692,357.90715428097064,359.4737332502587,386.4905371131493,395.95300382412,390.09027426473597,408.3784903529653,429.7293263602773,451.877843095128,498.9220050659867,458.348924651176,420.536872776704,432.343795533792,501.93568180513336,487.10674339533864,532.8214442279973,469.62877399999996,529.9200404,509.8989464,567.9463575999999,540.2421196,617.8345367999999,630.891134,638.0695052,661.9624496,716.1614828,742.0270383999999,743.8915504,771.1326484,814.160612,767.2580756000001,746.9373848,599.68413,663.2059888,650.9146516,643.242364,647.0550188,663.285038,612.3635419999999,739.0021863999999,520.40336,504.6269856,424.8853664,511.5147904,470.07253656914133,469.770467044296,460.52490240000003,481.84923079532535,484.3563936,495.913712,477.19608320000003,590.8194976,506.35706860707467,576.7308162413653,564.3588479255093,569.3848988541546,507.0353136,480.0285744,473.5135392,524.4183024,553.37574219772,573.8453336,556.31357235304,569.9064214044799,791.6673227284266,918.7961483788133,996.0241261420906,1005.2457360840027,968,1294.4,1452.8,1445.8666666666666,مديـن,,Debit,1068.4875414045894,1428.839551526768,1603.49354167924,1596.016797331296,1513.7946666666664,1707.366113315576,1350.9170245595465,1387.1757331062827,,مديـن,,,,,,,,,,,,,,,,,,,,
1.A.b.5 Financial services,-746.4748729658747,-947.7039655895173,-1044.400273735387,-1063.5146107735386,-1201.153975131848,-1218.6835976527602,-2180.7400165102,-1278.9205799732745,-830.0016612697387,-1409.556328197715,-706.565639629008,-1224.0673172835677,-2083.784972085088,-2793.5479528240135,-2212.699353963576,-548.4979523532214,-3471.9365531037174,-1371.4506666666668,-1589.6,-1133.0006873754453,-525.4845395981548,,1.أ.ب.5 خدمات مالية,,1.A.b.5 Financial services,-161.710814683944,-227.0721636213253,-277.3896503330053,-281.5313369512427,-155.04837434774134,-245.15808648747733,-366.2128805560267,-277.98093234414137,-175.83625687204,-220.64892627047206,-399.48526655129336,-267.5441610797333,-262.68877247994664,-343.288821930728,-387.2891351420079,-207.88724557916532,-261.10865842256004,-291.55324953212005,-310.31996468627733,-355.7017250118027,-454.446369510392,-967.5700183893466,-454.17812876870397,-304.5454998417573,-558.629894906464,-286.03180950274935,-140.93304446437867,-293.32583109968266,-232.79109334346134,-178.77859991990132,-170.6581483818773,-247.77381962449866,-206.30579629144802,-296.73317418385335,-647.5992692099787,-258.9180885124347,-217.79838712932002,-149.6844413644667,-102.61836453645064,-236.46444659877068,-264.19627081994406,-246.67708465993334,-104.66608193299466,-608.527879870696,-311.21400597614934,-981.1235946231493,-257.97738272920003,-533.4699887565894,-694.5591459532294,-606.933875276784,-490.0785563108774,-1001.9763752831227,-384.53824850382404,-518.6509698841521,-317.56886343734936,-991.9412721382507,-311.43857632871203,-161.06659043736,150.58633481436263,-226.57912040151197,-1382.0418945958052,-433.1610172157519,-260.8645532415467,-1395.8690880506135,-275.171591171792,-640.7204462118001,-129.35394230108795,-326.2046869819867,-640,-535.7333333333333,-227.46666666666667,-186.4,1.أ.ب.5 خدمات مالية,,1.A.b.5 Financial services,-515.176125919488,-413.44770651399995,-128.6908580542,-75.68599688775733,-90.69635204061602,-85.11785588210405,-179.85993171343998,-169.81039996199465,,1.أ.ب.5 خدمات مالية,,,,,,,,,,,,,,,,,,,,
Credit,330.08976018211996,339.2321102838533,352.882499840344,370.79572926750126,392.86891577024,419.1080636185173,384.5028106591893,422.530561163944,464.3192979823573,510.24098679380006,560.7043810920879,616.1586605407548,731.2017377692054,320.44843001169596,660.454546004608,796.927338393432,1544.2380851169228,916.6560000000001,1589.6,1635.1306577287094,1848.792666514723,,دائــن,,Credit,51.740198862482664,102.645878388472,109.32203308040533,75.52399995249333,53.82217709742133,106.77625456423733,113.721051609064,78.56301656962134,56.55433017118133,112.19649372669866,119.49382665201067,82.55107871761066,41.096485109712,129.00763142471467,96.813835114224,125.95096412158934,71.78028990567466,106.80681539410399,111.27178677471734,129.24917154402132,25.562513728034666,40.473980069389334,116.09641651482401,202.36990034694134,64.61025571196267,95.37704414622934,119.99047489364533,142.55278641210668,33.38750804889867,175.478530675608,147.52619835559733,107.92706090225333,63.62264156317867,69.29198586088533,154.33215032652,222.994209043216,51.73141610408533,178.17537482186398,154.8652812358,175.93230893033868,76.58881096573333,55.712355198277336,257.2960021113147,226.56149226542934,107.74306103465332,139.09046280458134,209.63158782129332,274.73662610867734,49.955688305458665,66.484078292368,83.46162490941333,120.547038504456,84.38806427176534,129.41910170406132,202.60379331513866,244.04358671364267,77.102255829192,154.71346752420268,258.1095165542933,307.002098485744,46.494168742477335,174.86005866878133,633.5804462030294,689.3034115026347,115.497790904928,187.5496261364827,276.63295088232536,336.97563207626405,267.2,335.46666666666664,439.73333333333335,547.2,دائــن,,Credit,274.7837201123547,345.11844676110667,452.27551951328,562.952971341968,475.415647959384,539.2505624373333,402.84933714666664,431.27711897133867,,دائــن,,,,,,,,,,,,,,,,,,,,
Debit,1076.5646331479945,1286.9360758733708,1397.2827735757307,1434.31034004104,1594.022890902088,1637.7916612712772,2565.2428271693893,1701.4511411372187,1294.320959252096,1919.7973149915147,1267.270020721096,1840.2259778243229,2814.9867098542936,3113.996382835709,2873.1538999681843,1345.4252907466534,5016.174638220639,2288.1066666666666,3179.2,2768.1313451041547,2374.2772061128776,,مديـن,,Debit,213.45101354642665,329.71804200979733,386.71168341341064,357.055336903736,208.87055144516268,351.9343410517147,479.93393216509065,356.5439489137627,232.39058704322133,332.8454199971707,518.979093203304,350.095239797344,303.78525758965867,472.2964533554426,484.10297025623197,333.83820970075465,332.8889483282347,398.360064926224,421.59175146099466,484.95089655582404,480.0088832384266,1008.0439984587359,570.274545283528,506.9154001886987,623.2401506184267,381.40885364897866,260.923519358024,435.87861751178934,266.17860139236,354.2571305955093,318.18434673747464,355.70088052675203,269.9284378546267,366.0251600447387,801.9314195364987,481.9122975556507,269.52980323340535,327.8598161863307,257.48364577225067,412.3967555291093,340.78508178567733,302.38943985821066,361.96208404430934,835.0893721361252,418.95706701080263,1120.2140574277305,467.6089705504934,808.2066148652667,744.514834258688,673.417953569152,573.5401812202907,1122.5234137875786,468.92631277558934,648.0700715882134,520.172656752488,1235.9848588518935,388.54083215790405,315.78005796156265,107.52318173993066,533.581218887256,1428.5360633382827,608.0210758845333,894.4449994445761,2085.172499553248,390.66938207671996,828.2700723482827,405.9868931834133,663.1803190582507,907.2,871.2,667.2,733.6,مديـن,,Debit,789.9598460318426,758.5661532751067,580.96637756748,638.6389682297253,566.112,624.3684183194374,582.7092688601066,601.0875189333333,,مديـن,,,,,,,,,,,,,,,,,,,,
"1.A.b.6 Telecommunication,Computer and Information services",-1797.1626853587838,-2037.365540561747,-2147.1458576901173,-2320.9999279928556,-2622.514224961347,-2870.690666666667,-3491.538666666667,-2606.0426666666667,-3125.941333333333,-4157.261333333333,-3952.0539999999996,-3700.4706666666666,-3158.0083035992316,-1545.9057333744827,-1072.0923439222427,-838.3498095050934,-636.6013502945334,-1562.5066666666614,-1743.1830040923867,-1804.0190213415044,-1590.8288783770292,, 1.أ.ب.6 خدمات الاتصالات والحاسب الالي والمعلومات   ,,"1.A.b.6 Telecommunication,Computer and Information services",-337.12423738027195,-375.23095373318137,-478.64088509796807,-846.3694643503253,-539.3841157659654,-431.08621640835736,-609.4668657122079,-567.2086598035866,-141.11087401108531,-365.3281640987519,-644.6224169282427,-1169.938472954776,-608.7756182026507,-679.0595721215013,-852.7793356319067,-481.89969900528797,-581.9546666666666,-777.4346666666667,-537.0533333333333,-974.248,-830.3226666666667,-1228.9253333333331,-614.528,-817.7626666666667,-946.6693333333334,-656.1466666666666,-210.10666666666663,-793.12,-999.504,-582.5333333333333,-805.456,-738.4480000000001,-832.0133333333334,-931.3813333333333,-1173.32,-1220.5466666666666,-796.6126666666667,-900.5600000000001,-990.3439999999999,-1264.5373333333334,-692.7733333333333,-928.8706666666666,-837.1826666666667,-1241.644,-685.2918819719333,-661.3194221664933,-721.466811076816,-1089.9301883839892,-240.9555479639174,-285.76503365037865,-509.4610615552507,-509.724090204936,-159.37072212746662,-296.9701447058667,-244.48710903520004,-371.2643680537093,-269.7869337800133,-263.36268061987204,-130.14696335373338,-175.05323175147467,-179.24523377606403,-209.030084266072,-130.40059627716008,-117.92543597523733,-212.03895714074127,-510.39546606589863,-406.0637057233654,-434.008537736656,-447.72469975538394,-446.3916376703361,-322.6666666666667,-526.4, 1.أ.ب.6 خدمات الاتصالات والحاسب الالي والمعلومات   ,,"1.A.b.6 Telecommunication,Computer and Information services",-505.0769787843574,-425.2224971485067,-344.8361385628613,-528.8834068457786,-404.8069583645333,-437.2418596680587,-259.6902504130533,-489.0898099313841,, 1.أ.ب.6 خدمات الاتصالات والحاسب الالي والمعلومات   ,,,,,,,,,,,,,,,,,,,,
Credit,315.23753631622395,313.5788241250773,320.9513324103866,325.4758821997813,340.94272735379735,337.02666666666664,303.2933333333333,353.28,342.24,412.344,290.122,313.7506666666667,273.1970666666667,1332.8095730226667,1813.8168757466665,1575.2501904949067,1683.6653163721335,1973.7760000000026,2069.866666666667,2166.2882536,2509.4791118829016,,دائــن,,Credit,66.41298240203733,80.44871579628001,75.65602634458666,91.06109958217333,77.66074992134934,81.14329476087201,79.40202234111199,82.74526538705332,21.253016434602667,72.27588309561867,91.57549728439467,140.37148538516533,76.67006021510933,98.71491586587467,84.54954677301333,81.0082044998,73.29333333333334,70.53333333333333,80.03999999999999,113.16000000000001,61.64,91.69333333333334,69.92,80.03999999999999,87.4,97.21333333333334,76.05333333333333,92.61333333333333,99.97333333333333,120.21333333333334,74.82666666666667,47.22666666666667,75.13333333333334,95.68,130.94666666666666,110.584,36.17133333333334,40.848,72.92533333333334,140.17733333333334,42.872,68.60133333333333,82.03333333333333,120.244,38.65226666666667,61.57866666666666,61.529599999999995,111.43653333333333,305.34183317744,327.92938403922665,344.0034663420267,355.53488946397334,388.02703787253336,472.7700152941333,487.5493709648,465.4704516152,417.4083869924,372.8043841118667,418.1154666666667,366.92195272397333,392.72346666666664,452.8301333333333,422.7593163721333,415.3524,498.9634245826213,482.61684425248,518.655093708416,473.54063745648534,545.3333333333334,515.4666666666667,475.46666666666664,533.6,دائــن,,Credit,528.7462201861706,576.489556085,486.128062340768,574.9244149880614,605.7663749688,634.9697433317947,644.77513412028,623.9678594620267,,دائــن,,,,,,,,,,,,,,,,,,,,
Debit,2112.4002216750077,2350.944364686824,2468.0971901005037,2646.4758101926373,2963.4569523151445,3207.7173333333335,3794.8320000000003,2959.322666666667,3468.1813333333334,4569.605333333334,4242.176,4014.2213333333334,3431.205370265898,2878.715306397149,2885.9092196689094,2413.6,2320.266666666667,3536.282666666664,3813.0496707590532,3970.3072749415046,4100.307990259931,,مديـن,,Debit,403.5372197823093,455.67966952946136,554.2969114425547,937.4305639324987,617.0448656873147,512.2295111692293,688.8688880533199,649.95392519064,162.36389044568799,437.60404719437065,736.1979142126373,1310.3099583399414,685.44567841776,777.774487987376,937.32888240492,562.9079035050879,655.2479999999999,847.9680000000001,617.0933333333334,1087.4080000000001,891.9626666666667,1320.6186666666665,684.448,897.8026666666667,1034.0693333333334,753.36,286.15999999999997,885.7333333333333,1099.4773333333333,702.7466666666667,880.2826666666666,785.6746666666667,907.1466666666668,1027.0613333333333,1304.2666666666667,1331.1306666666667,832.784,941.408,1063.2693333333334,1404.7146666666667,735.6453333333334,997.472,919.216,1361.888,723.9441486386,722.89808883316,782.996411076816,1201.3667217173227,546.2973811413574,613.6944176896053,853.4645278972773,865.2589796689093,547.39776,769.74016,732.0364800000001,836.7348196689093,687.1953207724133,636.1670647317387,548.2624300204001,541.975184475448,571.9687004427307,661.8602175994054,553.1599126492933,533.2778359752373,711.0023817233626,993.0123103183786,924.7187994317813,907.5491751931414,993.0580330887173,961.8583043370028,798.1333333333333,1060,مديـن,,Debit,1033.823198970528,1001.7120532335067,830.9642009036293,1103.80782183384,1010.5733333333334,1072.2116029998533,904.4653845333333,1113.0576693934106,,مديـن,,,,,,,,,,,,,,,,,,,,
"1.A.b.7 Personal, cultural, and recreational services",,,,,,,,,,,,,,,-1038.284975386384,-904.5237759264453,-1035.6968339328773,-1466.8159999999998,-1562.6666666666667,-1703.0121982999683,-1281.1604444828183,, 1.أ.ب.7 الخدمات الشخصية والثقافية والترفيهية,,"1.A.b.7 Personal, cultural, and recreational services",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-245.92088569475467,-312.33429037640263,-196.64628850336,-283.38351081186664,-211.13064546909865,-271.4104387604533,-173.19443062508265,-248.78826107181067,-243.03988627012802,-311.05511689837334,-197.52914565732533,-284.07268510705063,-360.074881330368,-444.037302026696,-270.14663537136795,-392.557181271568,-390.4,-474.4,-283.73333333333335,-414.1333333333333, 1.أ.ب.7 الخدمات الشخصية والثقافية والترفيهية,,"1.A.b.7 Personal, cultural, and recreational services",-442.27265005920793,-520.8845190639654,-298.98722207128,-440.8678071055147,-377.85046346456267,-235.77782314766398,-341.18232489142923,-326.3498329791627,, 1.أ.ب.7 الخدمات الشخصية والثقافية والترفيهية,,,,,,,,,,,,,,,,,,,,
Credit,,,,,,,,,,,,,,,151.72798736756266,81.10244829026934,114.08239651684266,422.29866666666663,560.5333333333333,888.2444524417066,1245.76770849388,,دائــن,,Credit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.354117796432,43.30641651525067,35.143568719461335,47.92388433641867,13.552417475552,23.14837537228,18.785126687938668,25.616528754498667,19.063447488962666,32.561558789072,26.424014522501334,36.033375716306665,70.56714008869866,120.53308206216799,97.813742010456,133.384702505344,93.6,160,129.86666666666667,177.06666666666666,دائــن,,Credit,148.428897201216,253.52373444389866,205.73655063573867,280.5552701608533,271.328203202104,322.67332213333333,309.76638924800005,341.99979391044263,,دائــن,,,,,,,,,,,,,,,,,,,,
Debit,,,,,,,,,,,,,,,1190.0129627539466,985.6262242167146,1149.77923044972,1889.1146666666666,2123.2,2591.256650741675,2526.928152976698,,مديـن,,Debit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,271.2750034911867,355.64070689165334,231.78985722282133,331.30739514828537,224.6830629446507,294.55881413273335,191.97955731302133,274.40478982630935,262.1033337590907,343.61667568744537,223.95316017982665,320.1060608233573,430.6420214190667,564.570384088864,367.960377381824,525.941883776912,484,634.4,413.6,591.2,مديـن,,Debit,590.7015472604239,774.408253507864,504.72377270701867,721.4230772663681,649.1786666666667,558.4511452809973,650.9487141394293,668.3496268896054,,مديـن,,,,,,,,,,,,,,,,,,,,
1.A.b.8 Maintenance and repair services,,,,,,,,,,,,,,,-111.72520307824269,-93.79013013333066,-233.4951466666693,-11.061333333330671,-233.86666666666667,-851.5794585973333,-847.9859899888452,, 1.أ.ب.8 خدمات الصيانة  والإصلاح ,,1.A.b.8 Maintenance and repair services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8514919715066602,-32.34861124844001,-31.64563118318133,-50.58245261812801,-2.9174092761786747,-26.672252137552004,-26.435186105304002,-37.76528261429599,-28.874795416533335,-64.43451580173866,-65.28099719556265,-74.90483825283467,36.95423616558667,-6.540999260631997,-4.033588641968011,-37.440981596317336,-3.2,-66.93333333333334,-66.13333333333334,-97.6, 1.أ.ب.8 خدمات الصيانة  والإصلاح ,,1.A.b.8 Maintenance and repair services,-117.644252464288,-233.87647464798135,-237.78301309624263,-262.27571838882136,-186.13780072960802,-274.409810545,-161.57147120000002,-225.86690751423734,, 1.أ.ب.8 خدمات الصيانة والإصلاح ,,,,,,,,,,,,,,,,,,,,
Credit,,,,,,,,,,,,,,,456.8,283.28742400000266,297.59999999999735,736.9599999999999,782.9333333333333,852.71807136,885.8993022527841,,دائــن,,Credit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.572068507688,121.04265175406933,126.36035988869334,97.82491984954933,69.19212757857866,75.06536998585867,78.36318049164,60.666745943925335,72.68793254791467,78.857909724192,82.322336039568,63.73182168832266,180.00033189016,195.27931838152264,203.85842999906131,157.821919729256,191.2,207.46666666666667,216.53333333333333,167.73333333333332,دائــن,,Credit,208.2731017015147,225.952419350496,235.87990724662401,182.61264306136533,213.11819927039198,257.70306758234403,197.1918576,217.886177800048,,دائــن,,,,,,,,,,,,,,,,,,,,
Debit,,,,,,,,,,,,,,,568.5252030782427,377.0775541333333,531.0951466666667,748.0213333333306,1016.8,1704.2975299573334,1733.8852922416293,,مديـن,,Debit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.72057653618134,153.39126300250933,158.00599107187466,148.40737246767733,72.10953685475734,101.73762212341066,104.798366596944,98.43202855822133,101.562727964448,143.29242552593067,147.60333323513066,138.63665994115732,143.04609572457332,201.82031764215466,207.89201864102932,195.26290132557332,194.4,274.4,282.6666666666667,265.3333333333333,مديـن,,Debit,325.9173541658027,459.8288939984774,473.66292034286664,444.88836145018666,399.25600000000003,532.1128781273441,358.7633288,443.75308531428533,,مديـن,,,,,,,,,,,,,,,,,,,,
1.A.b.9 Manufacturing services,,,,,,,,,,,,,,,-379.50430867329067,-498.05419809273866,-606.706812979848,-1335.5173333333335,-1586.6666666666667,-2089.534851890677,-2051.2806445627652,, 1.أ.ب.9 خدمات التصنيع,,1.A.b.9 Manufacturing services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-89.84865703552265,-95.89678244886933,-90.96034576968802,-102.79852341921067,-119.78153694406933,-125.45677219769868,-122.74675707271466,-130.069131878256,-145.54958297946663,-152.90275617473065,-148.86880249565067,-159.38567133000004,-322.52081501610934,-336.12600190831466,-331.5458148535414,-345.32470155536805,-383.46666666666664,-399.2,-394.4,-409.6, 1.أ.ب.9 خدمات التصنيع,,1.A.b.9 Manufacturing services,-505.06886259534934,-525.802322944464,-519.5556872267493,-539.1079791241146,-491.2495897540454,-645.9597949901494,-464.47506995774927,-449.59618986082126,, 1.أ.ب.9 خدمات التصنيع,,,,,,,,,,,,,,,,,,,,
